Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Jan 2019,2019-01-31,BRITANNIA.NS,3.448844,11028.37,Not in good list (full),0.0,43226.22
Feb 2019,2019-02-28,BAJFINANCE.NS,29.136455,7718.25,Not in good list (full),0.0,35778.01
Feb 2019,2019-02-28,SRF.NS,17.904167,8218.55,Not in good list (full),0.0,35778.01
Mar 2019,2019-03-29,MUTHOOTFIN.NS,8.088923,4933.84,Not in good list (full),0.0,46847.04
Mar 2019,2019-03-29,MRF.NS,0.065021,3660.48,Not in good list (full),0.0,46847.04
Apr 2019,2019-04-30,AARTIIND.NS,97.508335,38447.01,Not in good list (full),0.0,4489.84
Apr 2019,2019-04-30,SONATSOFTW.NS,115.316894,14328.84,Not in good list (full),0.0,4489.84
May 2019,2019-05-31,CHAMBLFERT.NS,92.76451,17569.6,Not in good list (full),0.0,34428.68
May 2019,2019-05-31,HONAUT.NS,0.594908,15309.72,Not in good list (full),0.0,34428.68
Jun 2019,2019-06-28,DEEPAKNTR.NS,48.48939,14066.77,Not in good list (full),0.0,37212.09
Jun 2019,2019-06-28,BAJFINANCE.NS,26.246765,9661.7,Not in good list (full),0.0,37212.09
Jun 2019,2019-06-28,DCMSHRIRAM.NS,17.770686,9992.46,Not in good list (full),0.0,37212.09
Aug 2019,2019-08-30,SRF.NS,35.268765,19571.34,Not in good list (full),0.0,21918.7
Aug 2019,2019-08-30,MANAPPURAM.NS,132.723724,15774.21,Not in good list (full),0.0,21918.7
Aug 2019,2019-08-30,HINDUNILVR.NS,4.582395,8623.61,Not in good list (full),0.0,21918.7
Sep 2019,2019-09-30,CHAMBLFERT.NS,120.907253,18595.54,Not in good list (full),0.0,51411.85
Oct 2019,2019-10-31,KNRCON.NS,127.602436,14769.98,Not in good list (full),0.0,55308.26
Oct 2019,2019-10-31,IGL.NS,28.273583,5535.26,Not in good list (full),0.0,55308.26
Nov 2019,2019-11-29,APLAPOLLO.NS,116.683303,18272.02,Not in good list (full),0.0,52278.54
Nov 2019,2019-11-29,JKPAPER.NS,36.467749,4359.72,Not in good list (full),0.0,52278.54
Dec 2019,2019-12-31,RELIANCE.NS,17.004172,11769.82,Not in good list (full),0.0,55058.89
Dec 2019,2019-12-31,KPRMILL.NS,43.10151,5676.04,Not in good list (full),0.0,55058.89
Jan 2020,2020-01-31,MUTHOOTFIN.NS,6.441391,4912.53,Not in good list (full),0.0,71184.25
Jan 2020,2020-01-31,SRF.NS,6.735958,5097.84,Not in good list (full),0.0,71184.25
Feb 2020,2020-02-28,RELIANCE.NS,3.626218,2202.62,Not in good list (full),0.0,72741.7
Feb 2020,2020-02-28,CHOLAFIN.NS,8.26347,2532.75,Not in good list (full),0.0,72741.7
Mar 2020,2020-03-31,KNRCON.NS,8.403494,825.64,Not in good list (full),0.0,38873.89
Mar 2020,2020-03-31,MUTHOOTFIN.NS,1.581937,969.96,Not in good list (full),0.0,38873.89
Apr 2020,2020-04-30,GARFIBRES.NS,1.46892,375.4,Not in good list (full),0.0,42067.88
Apr 2020,2020-04-30,CHOLAFIN.NS,1.48643,237.01,Not in good list (full),0.0,42067.88
Jul 2020,2020-07-30,BAJFINANCE.NS,96.389063,31020.89,Not in good list (full),0.0,24386.12
Jul 2020,2020-07-30,SRF.NS,0.288333,216.84,Not in good list (full),0.0,24386.12
Aug 2020,2020-08-31,MANAPPURAM.NS,49.333115,7301.3,Not in good list (full),0.0,59029.73
Sep 2020,2020-09-30,KEI.NS,66.692587,23262.37,Not in good list (full),0.0,16607.39
Sep 2020,2020-09-30,RELIANCE.NS,0.309958,319.61,Not in good list (full),0.0,16607.39
Sep 2020,2020-09-30,GARFIBRES.NS,34.10867,14549.05,Not in good list (full),0.0,16607.39
Sep 2020,2020-09-30,ITI.NS,89.19705,11136.25,Not in good list (full),0.0,16607.39
Oct 2020,2020-10-30,APLAPOLLO.NS,51.335069,16141.29,Not in good list (full),0.0,50227.31
Nov 2020,2020-11-27,GAEL.NS,66.507152,4022.02,Not in good list (full),0.0,75723.09
Dec 2020,2020-12-31,BHARATRAS.NS,7.540341,18302.01,Not in good list (full),0.0,57743.52
Dec 2020,2020-12-31,POLYPLEX.NS,5.648546,4015.83,Not in good list (full),0.0,57743.52
Jan 2021,2021-01-29,ALKYLAMINE.NS,28.213146,53981.9,Not in good list (full),0.0,30409.92
Jan 2021,2021-01-29,AARTIDRUGS.NS,7.913567,5329.0,Not in good list (full),0.0,30409.92
Feb 2021,2021-02-26,DEEPAKNTR.NS,1.39984,1915.89,Not in good list (full),0.0,72580.03
Feb 2021,2021-02-26,ESCORTS.NS,0.818682,1073.21,Not in good list (full),0.0,72580.03
Feb 2021,2021-02-26,SRF.NS,18.522024,20144.37,Not in good list (full),0.0,72580.03
Mar 2021,2021-03-31,MUTHOOTFIN.NS,12.220485,14736.68,Not in good list (full),0.0,65780.87
Mar 2021,2021-03-31,CHAMBLFERT.NS,65.10527,14912.36,Not in good list (full),0.0,65780.87
Apr 2021,2021-04-30,ITI.NS,105.315221,11352.98,Not in good list (full),0.0,80368.94
Apr 2021,2021-04-30,BHARATRAS.NS,2.320447,7094.94,Not in good list (full),0.0,80368.94
Apr 2021,2021-04-30,AARTIDRUGS.NS,11.731046,8328.46,Not in good list (full),0.0,80368.94
May 2021,2021-05-31,GARFIBRES.NS,57.511737,33014.04,Not in good list (full),0.0,52343.86
May 2021,2021-05-31,GAEL.NS,211.459825,17730.91,Not in good list (full),0.0,52343.86
May 2021,2021-05-31,POLYPLEX.NS,9.475566,10658.12,Not in good list (full),0.0,52343.86
May 2021,2021-05-31,TATACHEM.NS,8.592087,6047.54,Not in good list (full),0.0,52343.86
Jun 2021,2021-06-30,BAJFINANCE.NS,43.073946,25912.64,Not in good list (full),0.0,63696.49
Jun 2021,2021-06-30,KNRCON.NS,85.467053,20388.17,Not in good list (full),0.0,63696.49
Jun 2021,2021-06-30,ULTRACEMCO.NS,2.655473,17993.48,Not in good list (full),0.0,63696.49
