Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Jul 2018,2018-07-31,0.0,38566.96,3213.913494,3213.91,0.0,3213.91,3213.91,0.0,38787.96,7
Aug 2018,2018-08-31,0.0,41831.05,3485.920988,3485.92,0.0,3485.92,3485.92,0.0,42023.39,8
Sep 2018,2018-09-28,0.0,40701.17,3391.764081,3391.76,0.0,3391.76,3391.76,0.0,40544.52,8
Oct 2018,2018-10-31,0.0,41942.31,3495.19291,3495.19,0.0,3495.19,3495.19,0.0,41678.75,7
Nov 2018,2018-11-30,0.0,40815.22,3401.26854,3401.27,0.0,3401.27,3401.27,0.0,40774.61,7
Dec 2018,2018-12-31,0.0,41421.19,3451.765876,3451.77,0.0,3451.77,3451.77,0.0,41357.46,4
Jan 2019,2019-01-31,0.0,41469.8,3455.816322,3455.82,0.0,3455.82,3455.82,0.0,41662.84,6
Feb 2019,2019-02-28,0.0,41660.59,3471.715589,1757.32,0.0,1757.32,1757.32,0.0,41582.72,3
Mar 2019,2019-03-29,0.0,43522.98,3626.91463,1439.28,0.0,1439.28,1439.28,0.0,43490.55,2
Apr 2019,2019-04-30,0.0,44646.56,3720.54689,1963.1,0.0,1963.1,1963.1,0.0,44681.41,3
May 2019,2019-05-31,0.0,44485.84,3707.1532,579.0,0.0,579.0,579.0,0.0,44445.99,2
Jun 2019,2019-06-28,0.0,43055.7,3587.975117,3587.98,0.0,3587.98,3587.98,0.0,42932.75,9
Jul 2019,2019-07-31,0.0,40659.52,3388.293375,1629.35,0.0,1629.35,1629.35,0.0,40607.26,7
Aug 2019,2019-08-30,0.0,42406.36,3533.862972,1328.51,0.0,1328.51,1328.51,0.0,42414.26,2
Sep 2019,2019-09-30,0.0,44144.92,3678.742964,3678.74,0.0,3678.74,3678.74,0.0,44471.97,8
Oct 2019,2019-10-31,0.0,45790.62,3815.88497,1990.23,0.0,1990.23,1990.23,0.0,45854.17,3
Nov 2019,2019-11-29,0.0,46418.41,3868.200602,2258.6,0.0,2258.6,2258.6,0.0,46450.52,4
Dec 2019,2019-12-31,0.0,47229.99,3935.832861,3935.83,0.0,3935.83,3935.83,0.0,47371.41,12
Jan 2020,2020-01-31,0.0,49755.92,4146.327081,4146.33,0.0,4146.33,4146.33,0.0,49982.07,9
Feb 2020,2020-02-28,0.0,46244.87,3853.739286,3853.74,0.0,3853.74,3853.74,0.0,45912.21,9
Mar 2020,2020-03-31,0.0,33947.0,2828.916348,2828.92,0.0,2828.92,2828.92,0.0,33370.29,8
Apr 2020,2020-04-30,0.0,37368.51,3114.042401,3114.04,0.0,3114.04,3114.04,0.0,38046.04,7
May 2020,2020-05-29,0.0,37145.75,3095.479531,3095.48,0.0,3095.48,3095.48,0.0,37217.69,11
Jun 2020,2020-06-30,0.0,39511.37,3292.614334,1431.37,0.0,1431.37,1431.37,0.0,39549.21,3
Jul 2020,2020-07-30,0.0,46642.24,3886.853396,3886.85,0.0,3886.85,3886.85,0.0,47219.12,10
Aug 2020,2020-08-31,0.0,49663.82,4138.652055,2226.24,0.0,2226.24,2226.24,0.0,49750.23,7
Sep 2020,2020-09-30,0.0,49985.53,4165.46106,3118.25,0.0,3118.25,3118.25,0.0,50164.06,7
Oct 2020,2020-10-30,0.0,50629.48,4219.12294,0.0,0.0,0.0,0.0,0.0,50629.48,0
Nov 2020,2020-11-27,0.0,54698.19,4558.182359,616.69,0.0,616.69,616.69,0.0,54767.39,1
Dec 2020,2020-12-31,0.0,58497.95,4874.82943,1218.35,0.0,1218.35,1218.35,0.0,58557.28,1
Jan 2021,2021-01-29,0.0,58744.29,4895.357795,1190.51,0.0,1190.51,1190.51,0.0,58736.42,1
Feb 2021,2021-02-26,0.0,59657.99,4971.499249,1074.67,0.0,1074.67,1074.67,0.0,59659.44,1
Mar 2021,2021-03-31,0.0,61571.16,5130.93017,0.0,0.0,0.0,0.0,0.0,61571.16,0
Apr 2021,2021-04-30,0.0,67079.91,5589.992187,760.22,0.0,760.22,760.22,0.0,67153.82,1
May 2021,2021-05-31,0.0,72332.26,6027.688606,0.0,0.0,0.0,0.0,0.0,72332.26,0
Jun 2021,2021-06-30,0.0,76422.85,6368.571158,550.76,0.0,550.76,550.76,0.0,76567.63,1
Jul 2021,2021-07-30,0.0,95581.22,7965.101858,7959.1,0.0,7959.1,7959.1,0.0,97429.22,6
Aug 2021,2021-08-31,0.0,99173.08,8264.423471,5880.05,0.0,5880.05,5880.05,0.0,98920.45,12
Sep 2021,2021-09-30,0.0,99512.08,8292.67333,1717.01,0.0,1717.01,1717.01,0.0,99584.49,2
Oct 2021,2021-10-29,0.0,100440.89,8370.074054,8370.07,0.0,8370.07,8370.07,0.0,101034.9,6
Nov 2021,2021-11-30,0.0,109414.82,9117.901535,9117.9,0.0,9117.9,9117.9,0.0,111462.45,7
Dec 2021,2021-12-31,0.0,154722.46,12893.538749,6590.88,0.0,6590.88,6590.88,0.0,157456.14,7
Jan 2022,2022-01-31,0.0,136140.25,11345.020716,11345.02,0.0,11345.02,11345.02,0.0,134925.37,9
Feb 2022,2022-02-28,0.0,108809.91,9067.492432,261.51,0.0,261.51,261.51,0.0,108778.31,1
Mar 2022,2022-03-31,0.0,142058.59,11838.216141,8718.11,0.0,8718.11,8718.11,0.0,143588.3,12
Apr 2022,2022-04-29,0.0,140026.53,11668.877503,8458.86,0.0,8458.86,8458.86,0.0,139859.34,10
May 2022,2022-05-31,0.0,121386.17,10115.514317,0.0,0.0,0.0,0.0,0.0,121386.17,0
Jun 2022,2022-06-30,0.0,117888.71,9824.059208,0.0,0.0,0.0,0.0,0.0,117888.71,0
Jul 2022,2022-07-29,0.0,123771.74,10314.31153,10314.31,0.0,10314.31,10314.31,0.0,123777.77,17
Aug 2022,2022-08-30,0.0,121199.8,10099.983262,3658.77,0.0,3658.77,3658.77,0.0,120914.13,4
