Date,Portfolio_Value,Bank,Equity
2023-09-25,107204.01,0.0,107204.01
2023-09-26,107376.08,0.0,107376.08
2023-09-27,106973.51,0.0,106973.51
2023-09-28,106781.65,0.0,106781.65
2023-09-29,107821.53,0.0,107821.53
2023-10-03,107891.91,0.0,107891.91
2023-10-04,106648.01,0.0,106648.01
2023-10-05,107985.95,0.0,107985.95
2023-10-06,108242.01,0.0,108242.01
2023-10-09,105341.65,0.0,105341.65
2023-10-10,107567.39,0.0,107567.39
2023-10-11,107561.29,0.0,107561.29
2023-10-12,108346.48,0.0,108346.48
2023-10-13,109203.93,0.0,109203.93
2023-10-16,112356.85,0.0,112356.85
2023-10-17,115389.86,0.0,115389.86
2023-10-18,115411.91,0.0,115411.91
2023-10-19,115746.8,0.0,115746.8
2023-10-20,113981.86,0.0,113981.86
2023-10-23,107607.07,0.0,107607.07
2023-10-25,106106.87,0.0,106106.87
2023-10-26,105994.23,0.0,105994.23
2023-10-27,108109.4,0.0,108109.4
2023-10-30,107370.29,0.0,107370.29
2023-10-31,109734.94,0.0,109734.94
2023-11-01,109516.23,0.0,109516.23
2023-11-02,109497.23,0.0,109497.23
2023-11-03,111359.88,0.0,111359.88
2023-11-06,112539.31,0.0,112539.31
2023-11-07,112542.48,0.0,112542.48
2023-11-08,113997.11,0.0,113997.11
2023-11-09,114468.48,0.0,114468.48
2023-11-10,114883.37,0.0,114883.37
2023-11-13,116594.19,0.0,116594.19
2023-11-15,119433.9,0.0,119433.9
2023-11-16,119650.15,0.0,119650.15
2023-11-17,119451.25,0.0,119451.25
2023-11-20,119105.78,0.0,119105.78
2023-11-21,119462.25,0.0,119462.25
2023-11-22,118707.06,0.0,118707.06
2023-11-23,117375.16,0.0,117375.16
2023-11-24,117928.24,0.0,117928.24
2023-11-28,117635.73,0.0,117635.73
2023-11-29,117543.22,0.0,117543.22
2023-11-30,118536.74,0.0,118536.74
2023-12-01,119667.69,0.0,119667.69
2023-12-04,121273.26,0.0,121273.26
2023-12-05,120640.84,0.0,120640.84
2023-12-06,122603.01,0.0,122603.01
2023-12-07,121807.71,0.0,121807.71
2023-12-08,120862.84,0.0,120862.84
2023-12-11,122417.95,0.0,122417.95
2023-12-12,122244.12,0.0,122244.12
2023-12-13,122580.8,0.0,122580.8
2023-12-14,122596.82,0.0,122596.82
2023-12-15,123662.72,0.0,123662.72
2023-12-18,124329.95,0.0,124329.95
2023-12-19,124444.35,0.0,124444.35
2023-12-20,119447.18,0.0,119447.18
2023-12-21,122511.92,0.0,122511.92
2023-12-22,124692.39,0.0,124692.39
2023-12-26,127519.93,0.0,127519.93
2023-12-27,128796.83,0.0,128796.83
2023-12-28,129444.76,0.0,129444.76
2023-12-29,129536.25,0.0,129536.25
2024-01-01,122351.56,0.0,122351.56
2024-01-02,121710.88,0.0,121710.88
2024-01-03,122314.97,0.0,122314.97
2024-01-04,124256.33,0.0,124256.33
2024-01-05,124554.16,0.0,124554.16
2024-01-08,124351.83,0.0,124351.83
2024-01-09,127816.32,0.0,127816.32
2024-01-10,129542.08,0.0,129542.08
2024-01-11,130640.21,0.0,130640.21
2024-01-12,131204.98,0.0,131204.98
2024-01-15,130742.62,0.0,130742.62
2024-01-16,128972.79,0.0,128972.79
2024-01-17,128019.0,0.0,128019.0
2024-01-18,129269.6,0.0,129269.6
2024-01-19,133189.69,0.0,133189.69
2024-01-22,133189.69,0.0,133189.69
2024-01-23,134459.17,0.0,134459.17
2024-01-24,137208.32,0.0,137208.32
2024-01-25,139609.18,0.0,139609.18
2024-01-29,140512.71,0.0,140512.71
2024-01-30,139752.82,0.0,139752.82
2024-01-31,141150.44,0.0,141150.44
2024-02-01,140558.49,0.0,140558.49
2024-02-02,141722.32,0.0,141722.32
2024-02-05,138565.14,0.0,138565.14
2024-02-06,139704.65,0.0,139704.65
