Month,Date,Stock,Liquidated_Qty,Liquidated_Amount,Reason,Remaining_Qty,Portfolio_Value_After
Jun 2019,2019-06-28,AARTIIND.NS,2.830109,1222.77,Not in good list (partial to meet limit),0.550498,24647.5
Jul 2019,2019-07-31,PCJEWELLER.NS,67.921111,233.65,Not in good list (full within limit),0.0,22685.33
Jul 2019,2019-07-31,WIPRO.NS,2.564003,340.12,Not in good list (full within limit),0.0,22685.33
Jul 2019,2019-07-31,BRITANNIA.NS,0.571416,1488.54,Not in good list (partial to meet limit),0.87165,22685.33
Aug 2019,2019-08-30,CUMMINSIND.NS,0.444625,255.55,Not in good list (full within limit),0.0,22972.82
Aug 2019,2019-08-30,BRITANNIA.NS,0.678433,1832.89,Not in good list (partial to meet limit),0.193216,22972.82
Sep 2019,2019-09-30,BRITANNIA.NS,0.193216,568.86,Not in good list (full within limit),0.0,25046.21
Sep 2019,2019-09-30,APLLTD.NS,0.71962,366.57,Not in good list (full within limit),0.0,25046.21
Sep 2019,2019-09-30,AARTIIND.NS,0.550498,220.39,Not in good list (full within limit),0.0,25046.21
Sep 2019,2019-09-30,TECHM.NS,0.487784,348.52,Not in good list (full within limit),0.0,25046.21
Sep 2019,2019-09-30,TCS.NS,0.368018,772.58,Not in good list (partial to meet limit),0.904688,25046.21
Oct 2019,2019-10-31,INFY.NS,1.980734,1357.99,Not in good list (full within limit),0.0,25022.83
Oct 2019,2019-10-31,WIPRO.NS,5.566722,721.73,Not in good list (full within limit),0.0,25022.83
Oct 2019,2019-10-31,TCS.NS,0.085954,195.09,Not in good list (partial to meet limit),0.818734,25022.83
Nov 2019,2019-11-29,ZENSARTECH.NS,7.033952,1312.54,Not in good list (full within limit),0.0,25029.9
Nov 2019,2019-11-29,GULFOILLUB.NS,0.888769,711.19,Not in good list (full within limit),0.0,25029.9
Nov 2019,2019-11-29,AKZOINDIA.NS,0.130083,251.72,Not in good list (partial to meet limit),0.089878,25029.9
Dec 2019,2019-12-31,GARFIBRES.NS,1.582691,380.95,Not in good list (full within limit),0.0,25335.48
Dec 2019,2019-12-31,AKZOINDIA.NS,0.089878,177.16,Not in good list (full within limit),0.0,25335.48
Dec 2019,2019-12-31,COLPAL.NS,0.294204,430.39,Not in good list (full within limit),0.0,25335.48
Dec 2019,2019-12-31,RELAXO.NS,0.879009,541.25,Not in good list (full within limit),0.0,25335.48
Dec 2019,2019-12-31,BAJFINANCE.NS,1.826476,773.47,Not in good list (partial to meet limit),19.001628,25335.48
Jan 2020,2020-01-31,AUROPHARMA.NS,2.009201,967.23,Not in good list (full within limit),0.0,26088.18
Jan 2020,2020-01-31,TCS.NS,0.675512,1404.42,Not in good list (partial to meet limit),0.315534,26088.18
Feb 2020,2020-02-28,INFY.NS,1.090606,798.0,Not in good list (full within limit),0.0,24453.18
Feb 2020,2020-02-28,BAJFINANCE.NS,3.190928,1425.02,Not in good list (partial to meet limit),15.8107,24453.18
Mar 2020,2020-03-31,BAJFINANCE.NS,6.335325,1403.78,Not in good list (partial to meet limit),9.475375,15441.6
Apr 2020,2020-04-30,TCS.NS,0.315534,635.63,Not in good list (full within limit),0.0,18034.25
Apr 2020,2020-04-30,BAJFINANCE.NS,4.33049,1003.85,Not in good list (partial to meet limit),5.144885,18034.25
May 2020,2020-05-29,VINATIORGA.NS,1.576113,1602.28,Not in good list (partial to meet limit),0.670047,17625.05
Jun 2020,2020-06-30,VINATIORGA.NS,0.670047,646.06,Not in good list (full within limit),0.0,19540.12
Jun 2020,2020-06-30,BAJFINANCE.NS,3.992633,1130.31,Not in good list (partial to meet limit),1.152252,19540.12
Jul 2020,2020-07-30,CHOLAFIN.NS,4.632604,992.3,Not in good list (full within limit),0.0,20244.04
Jul 2020,2020-07-30,HINDPETRO.NS,5.703186,848.06,Not in good list (partial to meet limit),5.973889,20244.04
Aug 2020,2020-08-31,HINDPETRO.NS,5.973889,802.69,Not in good list (full within limit),0.0,21809.83
Aug 2020,2020-08-31,BPCL.NS,5.787249,1180.02,Not in good list (partial to meet limit),8.187212,21809.83
Sep 2020,2020-09-30,BPCL.NS,8.187212,1445.25,Not in good list (full within limit),0.0,21725.86
Sep 2020,2020-09-30,APLLTD.NS,0.564821,529.83,Not in good list (partial to meet limit),0.811491,21725.86
Oct 2020,2020-10-30,BAJFINANCE.NS,1.152252,381.28,Not in good list (full),0.0,23233.92
Nov 2020,2020-11-27,VSTIND.NS,6.529422,2133.01,Not in good list (partial to meet limit),8.312354,23463.15
Dec 2020,2020-12-31,APLLTD.NS,1.247698,1289.81,Not in good list (full),0.0,25911.6
Jan 2021,2021-01-29,HCLTECH.NS,0.432274,395.1,Not in good list (full within limit),0.0,26190.25
Jan 2021,2021-01-29,AJANTPHARM.NS,1.686721,1985.83,Not in good list (partial to meet limit),0.503569,26190.25
Feb 2021,2021-02-26,SWARAJENG.NS,0.239016,309.8,Not in good list (full within limit),0.0,27192.95
Feb 2021,2021-02-26,PERSISTENT.NS,1.515793,1255.49,Not in good list (full within limit),0.0,27192.95
Feb 2021,2021-02-26,TATAELXSI.NS,0.341175,906.79,Not in good list (partial to meet limit),0.485648,27192.95
Mar 2021,2021-03-31,AJANTPHARM.NS,0.503569,601.56,Not in good list (full),0.0,27926.34
Mar 2021,2021-03-31,TATAELXSI.NS,0.485648,1307.8,Not in good list (full),0.0,27926.34
Apr 2021,2021-04-30,AUROPHARMA.NS,0.874862,858.11,Not in good list (full),0.0,34438.05
May 2021,2021-05-31,JUSTDIAL.NS,0.158399,149.59,Not in good list (full within limit),0.0,35946.61
May 2021,2021-05-31,WIPRO.NS,3.490838,940.87,Not in good list (full within limit),0.0,35946.61
May 2021,2021-05-31,KPRMILL.NS,0.673882,214.1,Not in good list (full within limit),0.0,35946.61
May 2021,2021-05-31,ALKYLAMINE.NS,0.535262,1963.31,Not in good list (partial to meet limit),1.611695,35946.61
Jun 2021,2021-06-30,CENTURYPLY.NS,1.533997,620.58,Not in good list (full within limit),0.0,37757.33
Jun 2021,2021-06-30,PERSISTENT.NS,0.5066,744.41,Not in good list (full within limit),0.0,37757.33
Jun 2021,2021-06-30,ALKYLAMINE.NS,0.574879,2067.5,Not in good list (partial to meet limit),1.036815,37757.33
Aug 2021,2021-08-31,VSTIND.NS,11.723267,3567.98,Not in good list (partial to meet limit),0.125894,39247.74
Sep 2021,2021-09-30,VSTIND.NS,0.125894,38.88,Not in good list (full),0.0,43542.14
Oct 2021,2021-10-29,AARTIDRUGS.NS,4.310317,2523.91,Not in good list (full within limit),0.0,39577.86
Oct 2021,2021-10-29,CAPLIPOINT.NS,1.30826,1074.08,Not in good list (partial to meet limit),0.818806,39577.86
Nov 2021,2021-11-30,BAJAJ-AUTO.NS,0.254479,824.59,Not in good list (full),0.0,47488.96
Nov 2021,2021-11-30,LUXIND.NS,0.164981,628.58,Not in good list (full),0.0,47488.96
Dec 2021,2021-12-31,ASAL.NS,8.974807,5904.08,Not in good list (partial to meet limit),36.692022,64944.84
Jan 2022,2022-01-31,AVANTIFEED.NS,8.820906,5274.9,Not in good list (partial to meet limit),0.037583,58023.92
Feb 2022,2022-02-28,AVANTIFEED.NS,0.037583,17.95,Not in good list (full),0.0,50682.24
Feb 2022,2022-02-28,CAPLIPOINT.NS,0.818806,546.31,Not in good list (full),0.0,50682.24
Mar 2022,2022-03-31,KEI.NS,0.867354,1093.73,Not in good list (full within limit),0.0,60068.34
Mar 2022,2022-03-31,KPRMILL.NS,5.238064,3260.96,Not in good list (full within limit),0.0,60068.34
Mar 2022,2022-03-31,DCMSHRIRAM.NS,0.978735,1106.07,Not in good list (partial to meet limit),3.192175,60068.34
Apr 2022,2022-04-29,SFL.NS,0.5374,945.15,Not in good list (full within limit),0.0,60952.01
Apr 2022,2022-04-29,RHIM.NS,1.722745,1047.52,Not in good list (full within limit),0.0,60952.01
Apr 2022,2022-04-29,TATAELXSI.NS,0.138637,1073.88,Not in good list (full within limit),0.0,60952.01
Apr 2022,2022-04-29,SOLARINDS.NS,0.397123,1096.42,Not in good list (full within limit),0.0,60952.01
Apr 2022,2022-04-29,BHARATRAS.NS,0.397152,1378.12,Not in good list (partial to meet limit),0.049407,60952.01
May 2022,2022-05-31,STLTECH.NS,6.738349,1172.81,Not in good list (full within limit),0.0,52342.55
May 2022,2022-05-31,WIPRO.NS,6.582722,1573.44,Not in good list (full within limit),0.0,52342.55
May 2022,2022-05-31,BEL.NS,25.714621,2012.17,Not in good list (partial to meet limit),3.928148,52342.55
Jun 2022,2022-06-30,BHARATRAS.NS,0.049407,135.25,Not in good list (full),0.0,53238.9
Jun 2022,2022-06-30,KPRMILL.NS,2.744703,1415.31,Not in good list (full),0.0,53238.9
Jun 2022,2022-06-30,COALINDIA.NS,4.22632,784.41,Not in good list (full),0.0,53238.9
Jul 2022,2022-07-29,SFL.NS,0.260967,368.05,Not in good list (full within limit),0.0,53083.68
Jul 2022,2022-07-29,ECLERX.NS,0.273594,396.55,Not in good list (full within limit),0.0,53083.68
Jul 2022,2022-07-29,CAPLIPOINT.NS,1.30944,1018.81,Not in good list (full within limit),0.0,53083.68
Jul 2022,2022-07-29,SUDARSCHEM.NS,3.504351,1654.75,Not in good list (full within limit),0.0,53083.68
Jul 2022,2022-07-29,ALKYLAMINE.NS,0.473634,1387.63,Not in good list (partial to meet limit),0.788567,53083.68
Aug 2022,2022-08-30,LUXIND.NS,0.237115,430.97,Not in good list (full within limit),0.0,51863.62
Aug 2022,2022-08-30,SHARDACROP.NS,1.299876,677.43,Not in good list (full within limit),0.0,51863.62
Aug 2022,2022-08-30,PITTIENG.NS,2.655326,844.0,Not in good list (full within limit),0.0,51863.62
Aug 2022,2022-08-30,ALKYLAMINE.NS,0.788567,2340.07,Not in good list (full within limit),0.0,51863.62
Aug 2022,2022-08-30,AARTIIND.NS,0.508498,422.41,Not in good list (partial to meet limit),2.693846,51863.62
Sep 2022,2022-09-30,EKC.NS,8.65576,940.45,Not in good list (full within limit),0.0,49652.46
Sep 2022,2022-09-30,BALRAMCHIN.NS,3.788609,1317.3,Not in good list (full within limit),0.0,49652.46
Sep 2022,2022-09-30,DWARKESH.NS,6.830181,656.38,Not in good list (full within limit),0.0,49652.46
Sep 2022,2022-09-30,HINDZINC.NS,4.697563,1255.19,Not in good list (full within limit),0.0,49652.46
Sep 2022,2022-09-30,POLYPLEX.NS,0.173928,344.54,Not in good list (partial to meet limit),2.08474,49652.46
Oct 2022,2022-10-31,SHARDACROP.NS,1.447307,541.73,Not in good list (full within limit),0.0,48006.95
Oct 2022,2022-10-31,CENTURYPLY.NS,1.123857,672.18,Not in good list (full within limit),0.0,48006.95
Oct 2022,2022-10-31,GRINDWELL.NS,0.339276,713.5,Not in good list (full within limit),0.0,48006.95
Oct 2022,2022-10-31,ZEEL.NS,3.07379,806.72,Not in good list (full within limit),0.0,48006.95
Oct 2022,2022-10-31,SOLARINDS.NS,0.22615,882.4,Not in good list (full within limit),0.0,48006.95
Oct 2022,2022-10-31,KEI.NS,0.462943,747.75,Not in good list (partial to meet limit),1.209927,48006.95
Nov 2022,2022-11-30,COALINDIA.NS,3.266652,742.35,Not in good list (full within limit),0.0,49243.12
Nov 2022,2022-11-30,KEI.NS,1.209927,1847.92,Not in good list (full within limit),0.0,49243.12
Nov 2022,2022-11-30,TI.NS,17.266634,1886.38,Not in good list (partial to meet limit),11.461875,49243.12
Dec 2022,2022-12-30,DCMSHRIRAM.NS,3.966871,3565.82,Not in good list (full within limit),0.0,46437.41
Dec 2022,2022-12-30,TI.NS,5.945264,655.76,Not in good list (partial to meet limit),5.516611,46437.41
Jan 2023,2023-01-31,CHAMBLFERT.NS,1.718832,537.48,Not in good list (full),0.0,47387.61
Jan 2023,2023-01-31,TI.NS,5.516611,639.65,Not in good list (full),0.0,47387.61
Jan 2023,2023-01-31,COCHINSHIP.NS,4.811684,1231.67,Not in good list (full),0.0,47387.61
Feb 2023,2023-02-28,PRECWIRE.NS,5.320965,342.67,Not in good list (full),0.0,47487.33
Mar 2023,2023-03-31,GPTINFRA.NS,2.059935,45.37,Not in good list (full),0.0,49291.24
Apr 2023,2023-04-28,SALASAR.NS,134.93413,1173.93,Not in good list (full),0.0,52517.66
Apr 2023,2023-04-28,HINDUNILVR.NS,0.179107,440.12,Not in good list (full),0.0,52517.66
May 2023,2023-05-31,POLYPLEX.NS,2.08474,2828.37,Not in good list (full within limit),0.0,51020.32
May 2023,2023-05-31,DWARKESH.NS,11.038391,986.83,Not in good list (full within limit),0.0,51020.32
May 2023,2023-05-31,GNA.NS,0.687125,251.78,Not in good list (full within limit),0.0,51020.32
May 2023,2023-05-31,COCHINSHIP.NS,0.032541,8.08,Not in good list (full within limit),0.0,51020.32
May 2023,2023-05-31,AARTIIND.NS,1.099268,563.15,Not in good list (partial to meet limit),1.594579,51020.32
Jun 2023,2023-06-30,KAMDHENU.NS,22.410063,713.98,Not in good list (full within limit),0.0,56145.11
Jun 2023,2023-06-30,GOKUL.NS,45.771714,1386.88,Not in good list (full within limit),0.0,56145.11
Jun 2023,2023-06-30,MOLDTECH.NS,2.577213,777.93,Not in good list (full within limit),0.0,56145.11
Jun 2023,2023-06-30,ITC.NS,1.891405,822.48,Not in good list (full within limit),0.0,56145.11
Jun 2023,2023-06-30,TVSMOTOR.NS,0.667589,884.99,Not in good list (full within limit),0.0,56145.11
Jun 2023,2023-06-30,PITTIENG.NS,1.405807,517.83,Not in good list (partial to meet limit),5.794344,56145.11
Jul 2023,2023-07-31,AARTIIND.NS,1.594579,745.47,Not in good list (full within limit),0.0,60593.13
Jul 2023,2023-07-31,SURYAROSNI.NS,4.459093,910.71,Not in good list (full within limit),0.0,60593.13
Jul 2023,2023-07-31,BEL.NS,29.474271,3852.29,Not in good list (partial to meet limit),8.513276,60593.13
Aug 2023,2023-08-31,BEL.NS,8.513276,1133.97,Not in good list (full within limit),0.0,63325.05
Aug 2023,2023-08-31,ASAL.NS,11.18658,4622.85,Not in good list (partial to meet limit),43.043046,63325.05
Sep 2023,2023-09-29,ASAL.NS,13.845835,5837.4,Not in good list (partial to meet limit),29.197211,64211.45
Oct 2023,2023-10-31,REFEX.NS,21.090117,2342.27,Not in good list (full within limit),0.0,67126.95
Oct 2023,2023-10-31,SALASAR.NS,93.881643,846.81,Not in good list (full within limit),0.0,67126.95
Oct 2023,2023-10-31,BANCOINDIA.NS,12.144853,2719.23,Not in good list (full within limit),0.0,67126.95
Oct 2023,2023-10-31,TI.NS,0.926889,194.14,Not in good list (partial to meet limit),23.792438,67126.95
Nov 2023,2023-11-30,MOLDTECH.NS,2.959625,760.18,Not in good list (full within limit),0.0,73565.36
Nov 2023,2023-11-30,UGARSUGAR.NS,33.211866,2992.39,Not in good list (full within limit),0.0,73565.36
Nov 2023,2023-11-30,GHCL.NS,2.61687,1442.68,Not in good list (full within limit),0.0,73565.36
Nov 2023,2023-11-30,KAMDHENU.NS,30.895843,891.04,Not in good list (full within limit),0.0,73565.36
Nov 2023,2023-11-30,ZENSARTECH.NS,1.117048,601.47,Not in good list (partial to meet limit),0.803411,73565.36
Dec 2023,2023-12-29,GOKEX.NS,1.400109,1156.35,Not in good list (full within limit),0.0,79002.46
Dec 2023,2023-12-29,ZENSARTECH.NS,0.803411,490.6,Not in good list (full within limit),0.0,79002.46
Dec 2023,2023-12-29,ASTRAZEN.NS,0.224438,1240.38,Not in good list (full within limit),0.0,79002.46
Dec 2023,2023-12-29,PERSISTENT.NS,1.06506,3935.08,Not in good list (full within limit),0.0,79002.46
Dec 2023,2023-12-29,NEWGEN.NS,0.460404,359.63,Not in good list (partial to meet limit),1.488244,79002.46
Jan 2024,2024-01-31,KNRCON.NS,2.205751,610.11,Not in good list (full within limit),0.0,82426.19
Jan 2024,2024-01-31,MOLDTECH.NS,4.705216,1272.76,Not in good list (full within limit),0.0,82426.19
Jan 2024,2024-01-31,GOKULAGRO.NS,4.846985,304.75,Not in good list (full within limit),0.0,82426.19
Jan 2024,2024-01-31,UTTAMSUGAR.NS,1.365766,499.46,Not in good list (full within limit),0.0,82426.19
Jan 2024,2024-01-31,BANCOINDIA.NS,4.281523,1530.32,Not in good list (full within limit),0.0,82426.19
Jan 2024,2024-01-31,REFEX.NS,11.183845,1553.1,Not in good list (full within limit),0.0,82426.19
Jan 2024,2024-01-31,HISARMETAL.NS,0.423993,86.26,Not in good list (full within limit),0.0,82426.19
Jan 2024,2024-01-31,TI.NS,6.705667,1636.52,Not in good list (partial to meet limit),21.50377,82426.19
Feb 2024,2024-02-29,GOKEX.NS,1.534913,1296.92,Not in good list (full within limit),0.0,84450.89
Feb 2024,2024-02-29,TI.NS,21.50377,4627.61,Not in good list (full within limit),0.0,84450.89
Feb 2024,2024-02-29,NEWGEN.NS,2.064203,1752.82,Not in good list (partial to meet limit),0.994813,84450.89
