Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
APARINDS.NS,0.317365,6263.95,1987.96,9528.6,3024.05,1.337,Sep 2024,2024-09-30
GOKEX.NS,1.745497,754.1,1316.28,970.25,1693.57,0.749,Sep 2024,2024-09-30
ECLERX.NS,0.550186,2392.43,1316.28,3008.05,1654.99,0.732,Sep 2024,2024-09-30
TI.NS,16.878757,237.31,4005.42,300.3,5068.69,2.241,Sep 2024,2024-09-30
CAPLIPOINT.NS,1.184202,1328.11,1572.75,1897.95,2247.56,0.994,Sep 2024,2024-09-30
SUPREMEIND.NS,0.328767,4783.78,1572.75,5309.38,1745.55,0.772,Sep 2024,2024-09-30
JBCHEPHARM.NS,1.369812,1775.92,2432.67,1875.0,2568.4,1.135,Sep 2024,2024-09-30
MSTCLTD.NS,10.912128,828.27,9038.16,663.7,7242.43,3.202,Sep 2024,2024-09-30
GRAVITA.NS,1.979313,1476.75,2922.95,2453.05,4855.35,2.146,Sep 2024,2024-09-30
SHARDAMOTR.NS,2.429061,2517.52,6115.21,2426.95,5895.21,2.606,Sep 2024,2024-09-30
HINDZINC.NS,4.761849,624.49,2973.71,522.5,2488.07,1.1,Sep 2024,2024-09-30
KNRCON.NS,17.556882,249.2,4375.24,297.0,5214.39,2.511,Oct 2024,2024-10-31
NMDC.NS,59.301534,187.91,11143.16,221.87,13157.23,6.337,Oct 2024,2024-10-31
CHAMBLFERT.NS,18.60934,338.04,6290.68,478.39,8902.56,4.287,Oct 2024,2024-10-31
WIPRO.NS,4.286364,317.09,1359.17,275.9,1182.61,0.57,Oct 2024,2024-10-31
FACT.NS,22.530462,805.8,18155.15,861.5,19409.99,9.348,Oct 2024,2024-10-31
HAL.NS,5.313123,4134.53,21967.26,4246.7,22563.24,10.866,Oct 2024,2024-10-31
HGINFRA.NS,4.793978,909.58,4360.49,1358.05,6510.46,3.135,Oct 2024,2024-10-31
CANFINHOME.NS,1.505721,715.92,1077.98,861.71,1297.5,0.625,Oct 2024,2024-10-31
REFEX.NS,2.256812,113.58,256.33,487.15,1099.41,0.529,Oct 2024,2024-10-31
BANCOINDIA.NS,25.925363,489.95,12702.06,727.15,18851.63,9.079,Oct 2024,2024-10-31
GPIL.NS,11.077461,261.05,2891.75,195.65,2167.31,1.044,Oct 2024,2024-10-31
PERSISTENT.NS,1.680649,3597.76,6046.57,5372.5,9029.29,4.348,Oct 2024,2024-10-31
GODFRYPHLP.NS,2.172185,3258.24,7077.5,6585.68,14305.31,6.889,Oct 2024,2024-10-31
SURYAROSNI.NS,9.078113,565.73,5135.8,673.69,6115.87,2.945,Oct 2024,2024-10-31
GRSE.NS,5.654142,838.07,4738.57,1614.5,9128.61,4.396,Oct 2024,2024-10-31
BAJAJ-AUTO.NS,0.914131,8583.8,7846.72,9836.3,8991.66,4.33,Oct 2024,2024-10-31
PCBL.NS,27.451565,391.56,10748.82,410.95,11281.22,5.433,Oct 2024,2024-10-31
APARINDS.NS,0.317365,6263.95,1987.96,10062.35,3193.44,1.538,Oct 2024,2024-10-31
GOKEX.NS,1.745497,754.1,1316.28,896.45,1564.75,0.754,Oct 2024,2024-10-31
ECLERX.NS,0.550186,2392.43,1316.28,2910.55,1601.34,0.771,Oct 2024,2024-10-31
TI.NS,26.652078,259.18,6907.61,290.05,7730.43,3.723,Oct 2024,2024-10-31
CAPLIPOINT.NS,1.184202,1328.11,1572.75,2035.4,2410.32,1.161,Oct 2024,2024-10-31
SUPREMEIND.NS,0.328767,4783.78,1572.75,4294.75,1411.97,0.68,Oct 2024,2024-10-31
JBCHEPHARM.NS,1.369812,1775.92,2432.67,1961.05,2686.27,1.294,Oct 2024,2024-10-31
MSTCLTD.NS,10.912128,828.27,9038.16,660.33,7205.57,3.47,Oct 2024,2024-10-31
GRAVITA.NS,1.979313,1476.75,2922.95,2119.8,4195.75,2.021,Oct 2024,2024-10-31
SHARDAMOTR.NS,3.646371,2472.98,9017.39,2226.9,8120.1,3.911,Oct 2024,2024-10-31
HINDZINC.NS,4.761849,624.49,2973.71,553.2,2634.25,1.269,Oct 2024,2024-10-31
IIFLSEC.NS,7.662542,378.75,2902.19,380.8,2917.9,1.405,Oct 2024,2024-10-31
OFSS.NS,0.253629,11442.65,2902.19,10886.5,2761.13,1.33,Oct 2024,2024-10-31
KNRCON.NS,17.556882,249.2,4375.24,326.8,5737.59,2.544,Nov 2024,2024-11-29
