Date,Portfolio_Value,Bank,Month,Equity
2018-10-05,33090.2,0.0,Oct 2018,33090.2
2018-10-08,32973.53,0.0,Oct 2018,32973.53
2018-10-09,32764.69,0.0,Oct 2018,32764.69
2018-10-10,33510.9,0.0,Oct 2018,33510.9
2018-10-11,32697.04,0.0,Oct 2018,32697.04
2018-10-12,33332.03,0.0,Oct 2018,33332.03
2018-10-15,34085.52,0.0,Oct 2018,34085.52
2018-10-16,34164.66,0.0,Oct 2018,34164.66
2018-10-17,33693.85,0.0,Oct 2018,33693.85
2018-10-19,32995.16,0.0,Oct 2018,32995.16
2018-10-22,32571.28,0.0,Oct 2018,32571.28
2018-10-23,32098.2,0.0,Oct 2018,32098.2
2018-10-24,32199.01,0.0,Oct 2018,32199.01
2018-10-25,32152.21,0.0,Oct 2018,32152.21
2018-10-26,31955.21,0.0,Oct 2018,31955.21
2018-10-29,32780.26,0.0,Oct 2018,32780.26
2018-10-30,33441.7,0.0,Oct 2018,33441.7
2018-10-31,34163.92,0.0,Oct 2018,34163.92
2018-11-01,33968.41,0.0,Nov 2018,33968.41
2018-11-02,34240.92,0.0,Nov 2018,34240.92
2018-11-05,34231.99,0.0,Nov 2018,34231.99
2018-11-06,34768.34,0.0,Nov 2018,34768.34
2018-11-07,34870.42,0.0,Nov 2018,34870.42
2018-11-09,34674.28,0.0,Nov 2018,34674.28
2018-11-12,33907.83,0.0,Nov 2018,33907.83
2018-11-13,34051.91,0.0,Nov 2018,34051.91
2018-11-14,33840.43,0.0,Nov 2018,33840.43
2018-11-15,33778.31,0.0,Nov 2018,33778.31
2018-11-16,33818.75,0.0,Nov 2018,33818.75
2018-11-19,33803.41,0.0,Nov 2018,33803.41
2018-11-20,33616.01,0.0,Nov 2018,33616.01
2018-11-21,33357.44,0.0,Nov 2018,33357.44
2018-11-22,33280.21,0.0,Nov 2018,33280.21
2018-11-26,33399.81,0.0,Nov 2018,33399.81
2018-11-27,33546.16,0.0,Nov 2018,33546.16
2018-11-28,33573.72,0.0,Nov 2018,33573.72
2018-11-29,33463.64,0.0,Nov 2018,33463.64
2018-11-30,33600.76,0.0,Nov 2018,33600.76
2018-12-03,33806.59,0.0,Dec 2018,33806.59
2018-12-04,33997.91,0.0,Dec 2018,33997.91
2018-12-05,33983.89,0.0,Dec 2018,33983.89
2018-12-06,33740.55,0.0,Dec 2018,33740.55
2018-12-07,33978.14,0.0,Dec 2018,33978.14
2018-12-10,33272.01,0.0,Dec 2018,33272.01
2018-12-11,33557.4,0.0,Dec 2018,33557.4
2018-12-12,34070.13,0.0,Dec 2018,34070.13
2018-12-13,34536.8,0.0,Dec 2018,34536.8
2018-12-14,34460.54,0.0,Dec 2018,34460.54
2018-12-17,34807.49,0.0,Dec 2018,34807.49
2018-12-18,34862.58,0.0,Dec 2018,34862.58
2018-12-19,35356.15,0.0,Dec 2018,35356.15
2018-12-20,35017.41,0.0,Dec 2018,35017.41
2018-12-21,34242.98,0.0,Dec 2018,34242.98
2018-12-24,33936.19,0.0,Dec 2018,33936.19
2018-12-26,33827.32,0.0,Dec 2018,33827.32
2018-12-27,34174.63,0.0,Dec 2018,34174.63
2018-12-28,34275.19,0.0,Dec 2018,34275.19
2018-12-31,34349.29,0.0,Dec 2018,34349.29
2019-01-01,34398.83,0.0,Jan 2019,34398.83
2019-01-02,34156.32,0.0,Jan 2019,34156.32
2019-01-03,33895.8,0.0,Jan 2019,33895.8
2019-01-04,33849.59,0.0,Jan 2019,33849.59
2019-01-07,34145.81,0.0,Jan 2019,34145.81
2019-01-08,34259.18,0.0,Jan 2019,34259.18
2019-01-09,34236.66,0.0,Jan 2019,34236.66
2019-01-10,34274.43,0.0,Jan 2019,34274.43
2019-01-11,34050.74,0.0,Jan 2019,34050.74
2019-01-14,33901.42,0.0,Jan 2019,33901.42
2019-01-15,34425.59,0.0,Jan 2019,34425.59
2019-01-16,34538.29,0.0,Jan 2019,34538.29
2019-01-17,34522.62,0.0,Jan 2019,34522.62
2019-01-18,34385.86,0.0,Jan 2019,34385.86
2019-01-21,34335.1,0.0,Jan 2019,34335.1
2019-01-22,34184.19,0.0,Jan 2019,34184.19
2019-01-23,33993.26,0.0,Jan 2019,33993.26
2019-01-24,34007.97,0.0,Jan 2019,34007.97
2019-01-25,33666.85,0.0,Jan 2019,33666.85
2019-01-28,33402.81,0.0,Jan 2019,33402.81
2019-01-29,33267.15,0.0,Jan 2019,33267.15
2019-01-30,33611.09,0.0,Jan 2019,33611.09
2019-01-31,34524.83,0.0,Jan 2019,34524.83
2019-02-01,34556.38,0.0,Feb 2019,34556.38
2019-02-04,34558.97,0.0,Feb 2019,34558.97
2019-02-05,34268.43,0.0,Feb 2019,34268.43
2019-02-06,34155.33,0.0,Feb 2019,34155.33
2019-02-07,34515.67,0.0,Feb 2019,34515.67
2019-02-08,34201.4,0.0,Feb 2019,34201.4
2019-02-11,33986.01,0.0,Feb 2019,33986.01
2019-02-12,33551.17,0.0,Feb 2019,33551.17
2019-02-13,33551.17,0.0,Feb 2019,33551.17
2019-02-14,33167.58,0.0,Feb 2019,33167.58
2019-02-15,33121.08,0.0,Feb 2019,33121.08
2019-02-18,32591.02,0.0,Feb 2019,32591.02
2019-02-19,32418.11,0.0,Feb 2019,32418.11
2019-02-20,32714.58,0.0,Feb 2019,32714.58
2019-02-21,32989.99,0.0,Feb 2019,32989.99
2019-02-22,33365.31,0.0,Feb 2019,33365.31
2019-02-25,33815.77,0.0,Feb 2019,33815.77
2019-02-26,33771.38,0.0,Feb 2019,33771.38
2019-02-27,33657.2,0.0,Feb 2019,33657.2
2019-02-28,33572.9,0.0,Feb 2019,33572.9
2019-03-01,34011.6,0.0,Mar 2019,34011.6
2019-03-05,34445.47,0.0,Mar 2019,34445.47
2019-03-06,34932.88,0.0,Mar 2019,34932.88
2019-03-07,35228.3,0.0,Mar 2019,35228.3
2019-03-08,35150.45,0.0,Mar 2019,35150.45
2019-03-11,36012.92,0.0,Mar 2019,36012.92
2019-03-12,36094.59,0.0,Mar 2019,36094.59
2019-03-13,35573.41,0.0,Mar 2019,35573.41
2019-03-14,35481.2,0.0,Mar 2019,35481.2
2019-03-15,35450.3,0.0,Mar 2019,35450.3
2019-03-18,35162.46,0.0,Mar 2019,35162.46
2019-03-19,35471.81,0.0,Mar 2019,35471.81
2019-03-20,35454.52,0.0,Mar 2019,35454.52
2019-03-22,35406.04,0.0,Mar 2019,35406.04
2019-03-25,34902.22,0.0,Mar 2019,34902.22
2019-03-26,35084.39,0.0,Mar 2019,35084.39
2019-03-27,35785.63,0.0,Mar 2019,35785.63
2019-03-28,35914.14,0.0,Mar 2019,35914.14
2019-03-29,35914.14,0.0,Mar 2019,35914.14
2019-04-01,36390.97,0.0,Apr 2019,36390.97
2019-04-02,36562.34,0.0,Apr 2019,36562.34
2019-04-03,36242.87,0.0,Apr 2019,36242.87
2019-04-04,35970.13,0.0,Apr 2019,35970.13
2019-04-05,36316.42,0.0,Apr 2019,36316.42
2019-04-08,36338.65,0.0,Apr 2019,36338.65
2019-04-09,36353.52,0.0,Apr 2019,36353.52
2019-04-10,36104.37,0.0,Apr 2019,36104.37
2019-04-11,35920.01,0.0,Apr 2019,35920.01
2019-04-12,36196.24,0.0,Apr 2019,36196.24
2019-04-15,36817.05,0.0,Apr 2019,36817.05
2019-04-16,37119.02,0.0,Apr 2019,37119.02
2019-04-18,36940.96,0.0,Apr 2019,36940.96
2019-04-22,36376.92,0.0,Apr 2019,36376.92
2019-04-23,36288.29,0.0,Apr 2019,36288.29
2019-04-24,36496.16,0.0,Apr 2019,36496.16
2019-04-25,36455.62,0.0,Apr 2019,36455.62
2019-04-26,36489.88,0.0,Apr 2019,36489.88
2019-04-30,36226.78,0.0,Apr 2019,36226.78
2019-05-02,35674.79,0.0,May 2019,35674.79
2019-05-03,35290.38,0.0,May 2019,35290.38
2019-05-06,35200.58,0.0,May 2019,35200.58
2019-05-07,35246.85,0.0,May 2019,35246.85
2019-05-08,34930.43,0.0,May 2019,34930.43
2019-05-09,34889.45,0.0,May 2019,34889.45
2019-05-10,34907.92,0.0,May 2019,34907.92
2019-05-13,34381.49,0.0,May 2019,34381.49
2019-05-14,34155.9,0.0,May 2019,34155.9
2019-05-15,34045.88,0.0,May 2019,34045.88
2019-05-16,34191.2,0.0,May 2019,34191.2
2019-05-17,34154.79,0.0,May 2019,34154.79
2019-05-20,34889.38,0.0,May 2019,34889.38
2019-05-21,34713.17,0.0,May 2019,34713.17
2019-05-22,34481.65,0.0,May 2019,34481.65
2019-05-23,34367.23,0.0,May 2019,34367.23
2019-05-24,34829.69,0.0,May 2019,34829.69
2019-05-27,36110.08,0.0,May 2019,36110.08
2019-05-28,36068.15,0.0,May 2019,36068.15
2019-05-29,35729.45,0.0,May 2019,35729.45
