Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Jul 2019,2019-07-31,0.0,58432.97,4869.414156,0.0,2940.28,0.0,2940.28,2940.28,0.0,58178.97
Aug 2019,2019-08-30,0.0,59335.6,4944.633596,0.0,2298.58,0.0,2298.58,2298.58,0.0,59340.11
Sep 2019,2019-09-30,0.0,68480.97,5706.747405,0.0,795.53,0.0,795.53,795.53,0.0,68546.99
Oct 2019,2019-10-31,0.0,70225.44,5852.120367,0.0,943.68,0.0,943.68,943.68,0.0,70281.08
Nov 2019,2019-11-29,0.0,69903.74,5825.311561,0.0,601.86,0.0,601.86,601.86,0.0,69897.26
Dec 2019,2019-12-31,0.0,71320.9,5943.407922,0.0,109.57,0.0,109.57,109.57,0.0,71322.61
Jan 2020,2020-01-31,0.0,74381.25,6198.437363,0.0,2768.45,0.0,2768.45,2768.45,0.0,74484.13
Feb 2020,2020-02-28,0.0,73460.44,6121.703367,0.0,0.0,0.0,0.0,0.0,0.0,73460.44
Mar 2020,2020-03-31,0.0,42853.13,3571.094317,0.0,1098.84,0.0,1098.84,1098.84,0.0,42508.24
Apr 2020,2020-04-30,0.0,48470.07,4039.17268,0.0,2291.87,0.0,2291.87,2291.87,0.0,49235.75
May 2020,2020-05-29,0.0,44261.83,3688.485452,0.0,379.89,0.0,379.89,379.89,0.0,44280.44
Jun 2020,2020-06-30,0.0,55508.49,4625.707398,0.0,0.0,0.0,0.0,0.0,0.0,55508.49
Jul 2020,2020-07-30,0.0,60868.14,5072.344734,0.0,1193.72,0.0,1193.72,1193.72,0.0,60919.84
Aug 2020,2020-08-31,0.0,65933.29,5494.440641,0.0,7485.61,0.0,7485.61,7485.61,0.0,66336.54
Sep 2020,2020-09-30,0.0,65400.69,5450.057389,0.0,1137.21,0.0,1137.21,1137.21,0.0,65463.46
Oct 2020,2020-10-30,0.0,65929.7,5494.141805,0.0,4021.92,0.0,4021.92,4021.92,0.0,65929.22
Nov 2020,2020-11-27,0.0,85955.6,7162.96684,0.0,792.07,0.0,792.07,792.07,0.0,86114.63
Dec 2020,2020-12-31,0.0,91799.2,7649.933604,0.0,676.67,0.0,676.67,676.67,0.0,91856.74
