Date,Portfolio_Value,Bank,Equity
2017-06-27,24888.36,0.0,24888.36
2017-06-28,24957.89,0.0,24957.89
2017-06-29,25103.42,0.0,25103.42
2017-06-30,25446.78,0.0,25446.78
2017-07-03,25760.25,0.0,25760.25
2017-07-04,25723.14,0.0,25723.14
2017-07-05,26035.66,0.0,26035.66
2017-07-06,26052.28,0.0,26052.28
2017-07-07,26003.89,0.0,26003.89
2017-07-10,26140.55,0.0,26140.55
2017-07-11,26347.93,0.0,26347.93
2017-07-12,26595.66,0.0,26595.66
2017-07-13,26824.11,0.0,26824.11
2017-07-14,26704.69,0.0,26704.69
2017-07-17,27097.51,0.0,27097.51
2017-07-18,26612.8,0.0,26612.8
2017-07-19,26907.16,0.0,26907.16
2017-07-20,27062.18,0.0,27062.18
2017-07-21,27175.86,0.0,27175.86
2017-07-24,26973.02,0.0,26973.02
2017-07-25,27052.1,0.0,27052.1
2017-07-26,27346.28,0.0,27346.28
2017-07-27,27392.12,0.0,27392.12
2017-07-28,27533.84,0.0,27533.84
2017-07-31,27372.41,0.0,27372.41
2017-08-01,27549.62,0.0,27549.62
2017-08-02,27530.6,0.0,27530.6
2017-08-03,27476.84,0.0,27476.84
2017-08-04,27610.61,0.0,27610.61
2017-08-07,28177.97,0.0,28177.97
2017-08-08,27911.31,0.0,27911.31
2017-08-09,27187.99,0.0,27187.99
2017-08-10,26229.29,0.0,26229.29
2017-08-11,26408.65,0.0,26408.65
2017-08-14,27324.67,0.0,27324.67
2017-08-16,27568.62,0.0,27568.62
2017-08-17,27639.89,0.0,27639.89
2017-08-18,27486.51,0.0,27486.51
2017-08-21,27115.6,0.0,27115.6
2017-08-22,27055.53,0.0,27055.53
2017-08-23,27685.53,0.0,27685.53
2017-08-24,27488.28,0.0,27488.28
2017-08-28,27784.01,0.0,27784.01
2017-08-29,27399.47,0.0,27399.47
2017-08-30,27766.27,0.0,27766.27
2017-08-31,27920.12,0.0,27920.12
2017-09-01,28187.23,0.0,28187.23
2017-09-04,27930.32,0.0,27930.32
2017-09-05,28271.87,0.0,28271.87
2017-09-06,28421.43,0.0,28421.43
2017-09-07,28910.59,0.0,28910.59
2017-09-08,28795.34,0.0,28795.34
2017-09-11,29016.94,0.0,29016.94
2017-09-12,29181.18,0.0,29181.18
2017-09-13,28908.98,0.0,28908.98
2017-09-14,29013.54,0.0,29013.54
2017-09-15,29071.41,0.0,29071.41
2017-09-18,29403.65,0.0,29403.65
2017-09-19,29583.01,0.0,29583.01
2017-09-20,29526.96,0.0,29526.96
2017-09-21,29528.15,0.0,29528.15
2017-09-22,28540.55,0.0,28540.55
2017-09-25,28200.82,0.0,28200.82
2017-09-26,28468.7,0.0,28468.7
2017-09-27,27990.08,0.0,27990.08
2017-09-28,28323.44,0.0,28323.44
2017-09-29,28501.79,0.0,28501.79
2017-10-03,28827.95,0.0,28827.95
2017-10-04,28874.97,0.0,28874.97
2017-10-05,28794.66,0.0,28794.66
2017-10-06,29193.57,0.0,29193.57
2017-10-09,29328.17,0.0,29328.17
2017-10-10,29586.48,0.0,29586.48
2017-10-11,29512.62,0.0,29512.62
2017-10-12,29826.38,0.0,29826.38
2017-10-13,29901.86,0.0,29901.86
2017-10-16,29667.5,0.0,29667.5
2017-10-17,29682.23,0.0,29682.23
2017-10-18,29921.42,0.0,29921.42
2017-10-19,29701.18,0.0,29701.18
2017-10-23,29937.89,0.0,29937.89
