Month,Date,Investment_Amount,M_Universe_Size,Value_Filter_2_50%_Stocks,Momentum_Filter_2_50%_Stocks,Current_Portfolio_Stocks,Stocks_Selected,Optimization,Iteration_Count
Aug 2019,2019-08-01,2964.5,46,35,5,18,12,Greedy_Portfolio_Sharpe,0
Sep 2019,2019-09-03,2672.76,48,33,7,19,12,Greedy_Portfolio_Sharpe,0
Oct 2019,2019-10-01,2793.45,43,32,4,20,12,Greedy_Portfolio_Sharpe,0
Nov 2019,2019-11-01,3039.56,45,33,6,20,12,Greedy_Portfolio_Sharpe,0
Dec 2019,2019-12-02,3101.88,42,32,8,18,12,Greedy_Portfolio_Sharpe,0
Jan 2020,2020-01-01,3008.02,43,32,11,16,12,Greedy_Portfolio_Sharpe,0
Feb 2020,2020-02-03,3130.49,42,33,9,21,12,Greedy_Portfolio_Sharpe,0
Mar 2020,2020-03-02,3253.67,40,32,8,21,12,Greedy_Portfolio_Sharpe,0
Apr 2020,2020-04-01,3217.78,43,32,9,20,12,Greedy_Portfolio_Sharpe,0
May 2020,2020-05-04,2017.34,44,35,8,22,12,Greedy_Portfolio_Sharpe,0
Jun 2020,2020-06-01,2188.57,43,34,9,21,12,Greedy_Portfolio_Sharpe,0
Jul 2020,2020-07-01,2280.22,57,43,9,21,12,Greedy_Portfolio_Sharpe,0
Aug 2020,2020-08-03,2591.35,52,40,9,23,12,Greedy_Portfolio_Sharpe,0
Sep 2020,2020-09-01,2799.34,52,41,10,22,12,Greedy_Portfolio_Sharpe,0
Oct 2020,2020-10-01,3018.68,53,42,8,21,12,Greedy_Portfolio_Sharpe,0
Nov 2020,2020-11-02,3088.44,57,44,10,24,12,Greedy_Portfolio_Sharpe,0
Dec 2020,2020-12-01,2994.02,55,44,8,24,12,Greedy_Portfolio_Sharpe,0
Jan 2021,2021-01-01,3584.19,56,41,11,23,12,Greedy_Portfolio_Sharpe,0
Feb 2021,2021-02-01,3789.21,55,42,10,23,12,Greedy_Portfolio_Sharpe,0
Mar 2021,2021-03-01,3745.29,55,42,10,25,12,Greedy_Portfolio_Sharpe,0
Apr 2021,2021-04-01,3938.98,59,45,11,25,12,Greedy_Portfolio_Sharpe,0
May 2021,2021-05-03,4079.77,57,45,7,29,12,Greedy_Portfolio_Sharpe,0
Jun 2021,2021-06-01,4431.65,59,43,10,27,12,Greedy_Portfolio_Sharpe,0
Jul 2021,2021-07-01,4641.55,62,45,11,27,12,Greedy_Portfolio_Sharpe,0
Aug 2021,2021-08-02,5104.37,61,47,9,29,12,Greedy_Portfolio_Sharpe,0
Sep 2021,2021-09-01,5410.97,60,48,11,28,12,Greedy_Portfolio_Sharpe,0
Oct 2021,2021-10-01,5547.15,55,44,5,26,12,Greedy_Portfolio_Sharpe,0
Nov 2021,2021-11-01,5662.96,55,45,10,27,12,Greedy_Portfolio_Sharpe,0
Dec 2021,2021-12-01,5723.36,56,43,9,27,12,Greedy_Portfolio_Sharpe,0
Jan 2022,2022-01-03,6192.92,57,45,11,26,12,Greedy_Portfolio_Sharpe,0
Feb 2022,2022-02-01,8731.89,55,45,9,24,12,Greedy_Portfolio_Sharpe,0
Mar 2022,2022-03-02,7448.66,51,45,9,21,12,Greedy_Portfolio_Sharpe,0
Apr 2022,2022-04-01,6262.75,53,42,13,23,12,Greedy_Portfolio_Sharpe,0
May 2022,2022-05-02,8265.71,54,43,10,20,12,Greedy_Portfolio_Sharpe,0
Jun 2022,2022-06-01,7808.34,56,45,8,19,12,Greedy_Portfolio_Sharpe,0
Jul 2022,2022-07-01,7028.07,71,59,10,19,12,Greedy_Portfolio_Sharpe,0
Aug 2022,2022-08-01,6755.44,70,58,12,23,12,Greedy_Portfolio_Sharpe,0
Sep 2022,2022-09-01,7360.0,62,55,5,23,12,Greedy_Portfolio_Sharpe,0
