Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
BBTC.NS,0.794785,209.7,166.67,425.18,337.93,3.942,Jan 2015,2015-01-30
M&M.NS,0.263245,633.12,166.67,570.75,150.25,1.753,Jan 2015,2015-01-30
CANFINHOME.NS,6.749145,83.58,564.07,115.04,776.39,9.057,Jan 2015,2015-01-30
ASTRAL.NS,1.806656,184.5,333.33,169.7,306.6,3.577,Jan 2015,2015-01-30
WHEELS.NS,0.385142,432.74,166.67,509.48,196.22,2.289,Jan 2015,2015-01-30
VSTIND.NS,35.322373,4.72,166.67,4.78,168.93,1.971,Jan 2015,2015-01-30
TCS.NS,0.15034,1108.6,166.67,1085.28,163.16,1.903,Jan 2015,2015-01-30
BPCL.NS,8.391441,59.58,500.0,69.83,585.97,5.902,Feb 2015,2015-02-27
BAJFINANCE.NS,5.407322,263.5,1424.85,398.62,2155.44,21.71,Feb 2015,2015-02-27
AARTIIND.NS,12.665746,54.8,694.12,67.28,852.1,8.583,Feb 2015,2015-02-27
HAVELLS.NS,3.050302,227.56,694.12,250.8,765.01,7.705,Feb 2015,2015-02-27
ATUL.NS,0.195772,851.33,166.67,1245.78,243.89,2.457,Feb 2015,2015-02-27
TATASTEEL.NS,76.151719,7.77,591.52,5.51,419.66,4.227,Feb 2015,2015-02-27
VTL.NS,4.037775,48.07,194.12,60.35,243.7,2.455,Feb 2015,2015-02-27
CHOLAFIN.NS,6.8396,86.48,591.52,111.0,759.18,7.647,Feb 2015,2015-02-27
AJANTPHARM.NS,0.697802,477.69,333.33,670.31,467.74,4.711,Feb 2015,2015-02-27
KAJARIACER.NS,1.857999,303.59,564.07,376.74,699.99,7.05,Feb 2015,2015-02-27
BBTC.NS,0.794785,209.7,166.67,417.62,331.92,3.343,Feb 2015,2015-02-27
M&M.NS,0.263245,633.12,166.67,577.7,152.08,1.532,Feb 2015,2015-02-27
CANFINHOME.NS,8.180377,89.33,730.74,116.48,952.83,9.597,Feb 2015,2015-02-27
ASTRAL.NS,2.779333,179.9,500.0,197.94,550.13,5.541,Feb 2015,2015-02-27
WHEELS.NS,0.385142,432.74,166.67,672.54,259.02,2.609,Feb 2015,2015-02-27
VSTIND.NS,70.687765,4.72,333.33,4.45,314.59,3.169,Feb 2015,2015-02-27
TCS.NS,0.15034,1108.6,166.67,1164.12,175.01,1.763,Feb 2015,2015-02-27
BPCL.NS,8.391441,59.58,500.0,76.07,638.37,5.71,Mar 2015,2015-03-31
BAJFINANCE.NS,5.407322,263.5,1424.85,398.75,2156.15,19.284,Mar 2015,2015-03-31
AARTIIND.NS,15.15038,56.82,860.78,81.23,1230.61,11.006,Mar 2015,2015-03-31
HAVELLS.NS,3.050302,227.56,694.12,279.5,852.57,7.625,Mar 2015,2015-03-31
ATUL.NS,0.195772,851.33,166.67,1083.12,212.04,1.896,Mar 2015,2015-03-31
TATASTEEL.NS,76.151719,7.77,591.52,4.98,379.09,3.391,Mar 2015,2015-03-31
VTL.NS,4.037775,48.07,194.12,63.31,255.62,2.286,Mar 2015,2015-03-31
CHOLAFIN.NS,6.8396,86.48,591.52,113.35,775.3,6.934,Mar 2015,2015-03-31
AJANTPHARM.NS,0.697802,477.69,333.33,755.47,527.17,4.715,Mar 2015,2015-03-31
KAJARIACER.NS,1.857999,303.59,564.07,374.1,695.08,6.217,Mar 2015,2015-03-31
BBTC.NS,0.794785,209.7,166.67,434.66,345.46,3.09,Mar 2015,2015-03-31
M&M.NS,0.263245,633.12,166.67,535.88,141.07,1.262,Mar 2015,2015-03-31
CANFINHOME.NS,9.614015,93.34,897.4,113.04,1086.81,9.72,Mar 2015,2015-03-31
ASTRAL.NS,3.632279,183.54,666.67,199.11,723.24,6.469,Mar 2015,2015-03-31
WHEELS.NS,0.385142,432.74,166.67,582.48,224.34,2.006,Mar 2015,2015-03-31
VSTIND.NS,109.79087,4.55,500.0,4.01,440.08,3.936,Mar 2015,2015-03-31
TCS.NS,0.15034,1108.6,166.67,1116.72,167.89,1.502,Mar 2015,2015-03-31
KKCL.NS,0.561211,296.98,166.67,340.92,191.33,1.711,Mar 2015,2015-03-31
ARVIND.NS,1.602739,103.99,166.67,86.46,138.58,1.239,Mar 2015,2015-03-31
BPCL.NS,10.897476,63.23,689.09,71.75,781.93,6.436,Apr 2015,2015-04-30
BAJFINANCE.NS,5.877918,274.58,1613.94,392.52,2307.2,18.989,Apr 2015,2015-04-30
AARTIIND.NS,17.539287,59.86,1049.87,72.62,1273.78,10.484,Apr 2015,2015-04-30
HAVELLS.NS,3.72772,236.93,883.21,256.2,955.04,7.86,Apr 2015,2015-04-30
ATUL.NS,0.195772,851.33,166.67,1108.05,216.92,1.785,Apr 2015,2015-04-30
TATASTEEL.NS,76.151719,7.77,591.52,5.66,431.27,3.55,Apr 2015,2015-04-30
VTL.NS,4.037775,48.07,194.12,75.85,306.27,2.521,Apr 2015,2015-04-30
CHOLAFIN.NS,6.8396,86.48,591.52,113.19,774.18,6.372,Apr 2015,2015-04-30
AJANTPHARM.NS,0.697802,477.69,333.33,776.37,541.75,4.459,Apr 2015,2015-04-30
KAJARIACER.NS,1.857999,303.59,564.07,356.93,663.18,5.458,Apr 2015,2015-04-30
BBTC.NS,0.794785,209.7,166.67,413.97,329.02,2.708,Apr 2015,2015-04-30
M&M.NS,0.263245,633.12,166.67,516.57,135.98,1.119,Apr 2015,2015-04-30
CANFINHOME.NS,11.189966,97.1,1086.49,133.4,1492.69,12.286,Apr 2015,2015-04-30
ASTRAL.NS,3.632279,183.54,666.67,196.16,712.5,5.864,Apr 2015,2015-04-30
WHEELS.NS,0.385142,432.74,166.67,578.28,222.72,1.833,Apr 2015,2015-04-30
VSTIND.NS,109.79087,4.55,500.0,4.14,453.99,3.737,Apr 2015,2015-04-30
TCS.NS,0.15034,1108.6,166.67,1077.26,161.95,1.333,Apr 2015,2015-04-30
KKCL.NS,0.561211,296.98,166.67,356.89,200.29,1.648,Apr 2015,2015-04-30
LAOPALA.NS,1.032655,183.11,189.09,183.3,189.28,1.558,Apr 2015,2015-04-30
BPCL.NS,10.897476,63.23,689.09,79.77,869.25,6.462,May 2015,2015-05-29
BAJFINANCE.NS,6.2875,283.2,1780.61,409.24,2573.09,19.128,May 2015,2015-05-29
AARTIIND.NS,19.731789,61.65,1216.54,73.55,1451.29,10.789,May 2015,2015-05-29
HAVELLS.NS,3.72772,236.93,883.21,252.49,941.22,6.997,May 2015,2015-05-29
ATUL.NS,0.195772,851.33,166.67,1120.72,219.41,1.631,May 2015,2015-05-29
TATASTEEL.NS,76.151719,7.77,591.52,5.16,393.15,2.923,May 2015,2015-05-29
VTL.NS,4.037775,48.07,194.12,74.43,300.51,2.234,May 2015,2015-05-29
CHOLAFIN.NS,8.280924,91.56,758.18,111.42,922.66,6.859,May 2015,2015-05-29
AJANTPHARM.NS,0.90217,554.22,500.0,971.01,876.02,6.512,May 2015,2015-05-29
KAJARIACER.NS,1.857999,303.59,564.07,392.13,728.58,5.416,May 2015,2015-05-29
BBTC.NS,0.794785,209.7,166.67,540.6,429.66,3.194,May 2015,2015-05-29
M&M.NS,0.263245,633.12,166.67,567.59,149.42,1.111,May 2015,2015-05-29
