Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
May 2019,2019-05-31,0.0,62685.34,5223.778574,5223.78,0.0,5223.78,5223.78,0.0,63105.32,14
Jun 2019,2019-06-28,0.0,64424.28,5368.690243,1218.07,0.0,1218.07,1218.07,0.0,64426.21,6
Jul 2019,2019-07-31,0.0,56626.8,4718.899933,2699.47,0.0,2699.47,2699.47,0.0,56426.49,9
Aug 2019,2019-08-30,0.0,57965.44,4830.453417,1554.71,0.0,1554.71,1554.71,0.0,57968.49,3
Sep 2019,2019-09-30,0.0,66746.25,5562.187327,444.6,0.0,444.6,444.6,0.0,66783.15,1
Oct 2019,2019-10-31,0.0,68227.48,5685.623409,806.29,0.0,806.29,806.29,0.0,68275.01,3
Nov 2019,2019-11-29,0.0,68126.87,5677.239439,357.99,0.0,357.99,357.99,0.0,68123.02,2
Dec 2019,2019-12-31,0.0,69612.62,5801.051616,56.65,0.0,56.65,56.65,0.0,69614.08,1
Jan 2020,2020-01-31,0.0,72536.11,6044.676138,1618.57,0.0,1618.57,1618.57,0.0,72592.84,7
Feb 2020,2020-02-28,0.0,71615.95,5967.995496,0.0,0.0,0.0,0.0,0.0,71615.95,0
Mar 2020,2020-03-31,0.0,42460.52,3538.376977,524.17,0.0,524.17,524.17,0.0,42285.73,4
Apr 2020,2020-04-30,0.0,47524.4,3960.366296,1428.44,0.0,1428.44,1428.44,0.0,48001.62,5
May 2020,2020-05-29,0.0,43550.39,3629.199413,256.95,0.0,256.95,256.95,0.0,43552.54,1
Jun 2020,2020-06-30,0.0,54255.31,4521.275585,0.0,0.0,0.0,0.0,0.0,54255.31,0
Jul 2020,2020-07-30,0.0,59975.89,4997.990561,1027.83,0.0,1027.83,1027.83,0.0,60069.32,6
Aug 2020,2020-08-31,0.0,64659.87,5388.322908,5388.32,0.0,5388.32,5388.32,0.0,64983.73,12
Sep 2020,2020-09-30,0.0,63819.99,5318.332284,2150.16,0.0,2150.16,2150.16,0.0,63841.63,6
Oct 2020,2020-10-30,0.0,64363.25,5363.604101,2109.87,0.0,2109.87,2109.87,0.0,64368.15,9
Nov 2020,2020-11-27,0.0,83575.6,6964.633095,424.22,0.0,424.22,424.22,0.0,83661.17,2
Dec 2020,2020-12-31,0.0,89647.05,7470.587466,468.57,0.0,468.57,468.57,0.0,89678.93,4
Jan 2021,2021-01-29,0.0,85986.04,7165.503441,0.0,0.0,0.0,0.0,0.0,85986.04,0
Feb 2021,2021-02-26,0.0,94397.95,7866.495548,395.3,0.0,395.3,395.3,0.0,94444.85,2
Mar 2021,2021-03-31,0.0,94379.71,7864.975651,0.0,0.0,0.0,0.0,0.0,94379.71,0
Apr 2021,2021-04-30,0.0,102105.23,8508.769311,454.69,0.0,454.69,454.69,0.0,102200.42,1
May 2021,2021-05-31,0.0,108274.64,9022.886858,1562.73,0.0,1562.73,1562.73,0.0,108365.22,6
Jun 2021,2021-06-30,0.0,116059.53,9671.627465,21.55,0.0,21.55,21.55,0.0,116062.54,1
Jul 2021,2021-07-30,0.0,126836.27,10569.689445,3999.01,0.0,3999.01,3999.01,0.0,127217.19,7
Aug 2021,2021-08-31,0.0,140575.56,11714.629773,3982.29,0.0,3982.29,3982.29,0.0,140499.35,7
Sep 2021,2021-09-30,0.0,142454.77,11871.231065,592.81,0.0,592.81,592.81,0.0,142477.62,1
Oct 2021,2021-10-29,0.0,139116.61,11593.050967,7415.67,0.0,7415.67,7415.67,0.0,138986.05,7
Nov 2021,2021-11-30,0.0,134662.79,11221.899009,2788.3,0.0,2788.3,2788.3,0.0,134641.4,4
Dec 2021,2021-12-31,0.0,138213.69,11517.807347,226.52,0.0,226.52,226.52,0.0,138238.24,1
Jan 2022,2022-01-31,0.0,137157.04,11429.753495,282.61,0.0,282.61,282.61,0.0,137136.46,1
Feb 2022,2022-02-28,0.0,131676.62,10973.051583,891.17,0.0,891.17,891.17,0.0,131617.37,3
Mar 2022,2022-03-31,0.0,138533.23,11544.435535,273.82,0.0,273.82,273.82,0.0,138553.23,2
Apr 2022,2022-04-29,0.0,135377.37,11281.447187,3146.76,0.0,3146.76,3146.76,0.0,135405.94,11
May 2022,2022-05-31,0.0,122847.52,10237.293321,2020.47,0.0,2020.47,2020.47,0.0,122670.5,4
Jun 2022,2022-06-30,0.0,109833.59,9152.799468,9152.8,0.0,9152.8,9152.8,0.0,108718.61,2
Jul 2022,2022-07-29,0.0,130798.83,10899.902647,10899.9,0.0,10899.9,10899.9,0.0,131732.82,4
Aug 2022,2022-08-30,0.0,138087.57,11507.29726,2829.21,0.0,2829.21,2829.21,0.0,138353.15,10
Sep 2022,2022-09-30,0.0,134673.38,11222.781387,2663.99,0.0,2663.99,2663.99,0.0,134615.0,6
Oct 2022,2022-10-31,0.0,132894.23,11074.519535,4022.03,0.0,4022.03,4022.03,0.0,132966.39,4
Nov 2022,2022-11-30,0.0,132121.02,11010.084851,2051.35,0.0,2051.35,2051.35,0.0,132163.21,4
Dec 2022,2022-12-30,0.0,130113.47,10842.789404,2568.56,0.0,2568.56,2568.56,0.0,130753.43,5
Jan 2023,2023-01-31,0.0,128255.21,10687.934219,10687.93,0.0,10687.93,10687.93,0.0,128471.58,4
Feb 2023,2023-02-28,0.0,124074.63,10339.552588,10339.55,0.0,10339.55,10339.55,0.0,123293.6,5
Mar 2023,2023-03-31,0.0,120524.11,10043.67542,10043.68,0.0,10043.68,10043.68,0.0,121044.41,13
Apr 2023,2023-04-28,0.0,133173.3,11097.774959,5557.51,0.0,5557.51,5557.51,0.0,133769.07,5
May 2023,2023-05-31,0.0,140606.67,11717.222864,3137.44,0.0,3137.44,3137.44,0.0,140919.85,4
Jun 2023,2023-06-30,0.0,151368.6,12614.050315,6727.7,0.0,6727.7,6727.7,0.0,151570.9,5
Jul 2023,2023-07-31,0.0,163546.58,13628.881617,13302.34,0.0,13302.34,13302.34,0.0,164710.83,18
Aug 2023,2023-08-31,0.0,176837.0,14736.416683,1326.29,0.0,1326.29,1326.29,0.0,176933.45,2
Sep 2023,2023-09-29,0.0,175969.63,14664.135954,0.0,0.0,0.0,0.0,0.0,175969.63,0
Oct 2023,2023-10-31,0.0,173218.68,14434.889869,195.29,0.0,195.29,195.29,0.0,173219.53,1
Nov 2023,2023-11-30,0.0,186185.14,15515.428718,2404.58,0.0,2404.58,2404.58,0.0,186476.71,4
Dec 2023,2023-12-29,0.0,200713.07,16726.089208,30.64,0.0,30.64,30.64,0.0,200714.52,1
Jan 2024,2024-01-31,0.0,211340.87,17611.7389,17611.74,0.0,17611.74,17611.74,0.0,211357.84,3
Feb 2024,2024-02-29,0.0,207155.78,17262.98136,16563.02,0.0,16563.02,16563.02,0.0,206766.94,10
Mar 2024,2024-03-28,0.0,202260.61,16855.050854,5485.09,0.0,5485.09,5485.09,0.0,202035.67,2
Apr 2024,2024-04-30,0.0,225470.28,18789.189877,9041.0,0.0,9041.0,9041.0,0.0,226064.24,6
May 2024,2024-05-31,0.0,237743.69,19811.973984,13661.98,0.0,13661.98,13661.98,0.0,238291.75,7
Jun 2024,2024-06-28,0.0,265764.65,22147.05418,5872.87,0.0,5872.87,5872.87,0.0,265634.2,3
