Ticker,Quantity,Avg_Buy_Price,Invested_Amount,Current_Price,Current_Amount,Percent_of_Portfolio,Month,Date
VGUARD.NS,3.581885,115.46,413.56,127.13,455.36,1.841,Sep 2016,2016-09-30
HINDZINC.NS,4.474438,88.8,397.34,97.09,434.43,1.756,Sep 2016,2016-09-30
VAKRANGEE.NS,0.590877,87.17,51.51,107.99,63.81,0.258,Sep 2016,2016-09-30
VSTIND.NS,704.755203,5.43,3828.81,17.15,12085.65,47.16,Oct 2016,2016-10-28
BALKRISIND.NS,0.599085,278.2,166.67,492.03,294.77,1.15,Oct 2016,2016-10-28
TORNTPHARM.NS,0.580895,580.07,336.96,626.57,363.97,1.42,Oct 2016,2016-10-28
ZENSARTECH.NS,20.029174,126.97,2543.14,162.29,3250.57,12.684,Oct 2016,2016-10-28
KAJARIACER.NS,0.798484,556.62,444.46,581.27,464.13,1.811,Oct 2016,2016-10-28
RATNAMANI.NS,0.699576,396.41,277.32,407.02,284.74,1.111,Oct 2016,2016-10-28
VINATIORGA.NS,3.139546,262.29,823.46,290.6,912.35,3.56,Oct 2016,2016-10-28
BAJFINANCE.NS,3.05246,670.69,2047.27,1048.33,3199.99,12.487,Oct 2016,2016-10-28
INFY.NS,1.17187,457.42,536.03,405.46,475.15,1.854,Oct 2016,2016-10-28
IGL.NS,11.452326,113.17,1296.1,153.98,1763.38,6.881,Oct 2016,2016-10-28
BAJAJ-AUTO.NS,0.053554,1777.03,95.17,2295.84,122.95,0.48,Oct 2016,2016-10-28
TIDEWATER.NS,0.437883,300.96,131.78,330.24,144.61,0.564,Oct 2016,2016-10-28
TVSSRICHAK.NS,0.010803,2138.41,23.1,3383.99,36.56,0.143,Oct 2016,2016-10-28
AVANTIFEED.NS,0.104122,155.8,16.22,180.46,18.79,0.073,Oct 2016,2016-10-28
AARTIIND.NS,0.130152,124.64,16.22,179.24,23.33,0.091,Oct 2016,2016-10-28
VGUARD.NS,6.350766,120.94,768.05,144.77,919.43,3.588,Oct 2016,2016-10-28
HINDZINC.NS,7.822812,96.11,751.83,105.25,823.32,3.213,Oct 2016,2016-10-28
VAKRANGEE.NS,3.903337,104.01,406.0,113.62,443.49,1.731,Oct 2016,2016-10-28
VSTIND.NS,604.031317,5.86,3538.96,16.12,9736.03,39.906,Nov 2016,2016-11-30
BALKRISIND.NS,1.299674,390.16,507.08,460.04,597.9,2.451,Nov 2016,2016-11-30
TORNTPHARM.NS,0.580895,580.07,336.96,609.7,354.17,1.452,Nov 2016,2016-11-30
ZENSARTECH.NS,17.669265,134.5,2376.47,177.53,3136.86,12.857,Nov 2016,2016-11-30
KAJARIACER.NS,0.798484,556.62,444.46,499.66,398.97,1.635,Nov 2016,2016-11-30
RATNAMANI.NS,0.699576,396.41,277.32,360.43,252.15,1.034,Nov 2016,2016-11-30
VINATIORGA.NS,3.139546,262.29,823.46,288.64,906.18,3.714,Nov 2016,2016-11-30
