Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing,Stocks_Affected
Apr 2020,2020-04-30,0.0,49280.64,49280.644286,7693.89,0.0,7693.89,7693.89,0.0,51607.9,3
May 2020,2020-05-29,0.0,49857.09,49857.090985,0.0,0.0,0.0,0.0,0.0,49857.09,0
Jun 2020,2020-06-30,0.0,62499.67,62499.665968,10976.03,0.0,10976.03,10976.03,0.0,63002.36,1
Jul 2020,2020-07-30,0.0,68615.3,68615.299768,37367.84,0.0,37367.84,37367.84,0.0,71072.29,3
Aug 2020,2020-08-31,0.0,78311.81,78311.810019,27635.6,0.0,27635.6,27635.6,0.0,80934.26,3
Sep 2020,2020-09-30,0.0,81684.29,81684.294665,45758.85,0.0,45758.85,45758.85,0.0,85216.72,6
Oct 2020,2020-10-30,0.0,83188.49,83188.492388,18881.36,0.0,18881.36,18881.36,0.0,82636.76,2
Nov 2020,2020-11-27,0.0,100504.22,100504.224673,3136.52,0.0,3136.52,3136.52,0.0,101003.76,1
Dec 2020,2020-12-31,0.0,100817.57,100817.565557,15528.53,0.0,15528.53,15528.53,0.0,101289.87,2
Jan 2021,2021-01-29,0.0,106248.8,106248.800948,48606.54,0.0,48606.54,48606.54,0.0,108469.63,3
Feb 2021,2021-02-26,0.0,114576.61,114576.608011,34675.14,0.0,34675.14,34675.14,0.0,119350.9,4
Mar 2021,2021-03-31,0.0,121013.84,121013.843854,36090.1,0.0,36090.1,36090.1,0.0,122355.81,4
Apr 2021,2021-04-30,0.0,147905.95,147905.94845,31211.57,0.0,31211.57,31211.57,0.0,150782.41,2
May 2021,2021-05-31,0.0,158947.8,158947.804117,66318.42,0.0,66318.42,66318.42,0.0,160990.76,5
Jun 2021,2021-06-30,0.0,165860.1,165860.097074,43072.34,0.0,43072.34,43072.34,0.0,170735.74,3
Jul 2021,2021-07-30,0.0,187051.95,187051.946148,92278.13,0.0,92278.13,92278.13,0.0,193663.35,5
Aug 2021,2021-08-31,0.0,195012.31,195012.311346,12231.01,0.0,12231.01,12231.01,0.0,194490.7,1
Sep 2021,2021-09-30,0.0,193236.07,193236.069864,56713.06,0.0,56713.06,56713.06,0.0,195456.01,4
Oct 2021,2021-10-29,0.0,196369.29,196369.294125,61451.85,0.0,61451.85,61451.85,0.0,193887.54,6
Nov 2021,2021-11-30,0.0,186173.54,186173.535947,19076.93,0.0,19076.93,19076.93,0.0,187087.03,2
Dec 2021,2021-12-31,0.0,198499.75,198499.750857,8038.9,0.0,8038.9,8038.9,0.0,199374.63,2
Jan 2022,2022-01-31,0.0,198325.82,198325.821566,2799.76,0.0,2799.76,2799.76,0.0,198255.06,2
Feb 2022,2022-02-28,0.0,184204.57,184204.56565,112674.19,0.0,112674.19,112674.19,0.0,178544.86,4
Mar 2022,2022-03-31,0.0,188171.18,188171.180476,102556.32,0.0,102556.32,102556.32,0.0,201027.48,5
Apr 2022,2022-04-29,0.0,201641.54,201641.535043,19281.68,0.0,19281.68,19281.68,0.0,201240.63,1
May 2022,2022-05-31,0.0,180106.34,180106.344748,54906.87,0.0,54906.87,54906.87,0.0,176589.8,4
Jun 2022,2022-06-30,0.0,161219.86,161219.856258,114948.34,0.0,114948.34,114948.34,0.0,144962.05,7
Jul 2022,2022-07-29,0.0,159323.69,159323.694986,32452.24,0.0,32452.24,32452.24,0.0,160747.17,2
Aug 2022,2022-08-30,0.0,177200.38,177200.37823,49210.75,0.0,49210.75,49210.75,0.0,180664.68,2
Sep 2022,2022-09-30,0.0,179683.46,179683.464478,100958.9,0.0,100958.9,100958.9,0.0,176308.36,5
Oct 2022,2022-10-31,0.0,173804.36,173804.358626,89074.77,0.0,89074.77,89074.77,0.0,177380.66,3
Nov 2022,2022-11-30,0.0,175754.8,175754.80376,100751.35,0.0,100751.35,100751.35,0.0,183849.93,6
Dec 2022,2022-12-30,0.0,214340.24,214340.236932,15890.87,0.0,15890.87,15890.87,0.0,218299.45,1
