Date,Portfolio_Value,Bank,Month,Equity
2017-04-13,30912.83,0.0,Apr 2017,30912.83
2017-04-17,31368.65,0.0,Apr 2017,31368.65
2017-04-18,30887.11,0.0,Apr 2017,30887.11
2017-04-19,30519.37,0.0,Apr 2017,30519.37
2017-04-20,30685.4,0.0,Apr 2017,30685.4
2017-04-21,30787.61,0.0,Apr 2017,30787.61
2017-04-24,30980.28,0.0,Apr 2017,30980.28
2017-04-25,31157.28,0.0,Apr 2017,31157.28
2017-04-26,30877.54,0.0,Apr 2017,30877.54
2017-04-27,30853.64,0.0,Apr 2017,30853.64
2017-04-28,30763.85,0.0,Apr 2017,30763.85
2017-05-02,30868.92,0.0,May 2017,30868.92
2017-05-03,30823.27,0.0,May 2017,30823.27
2017-05-04,30937.79,0.0,May 2017,30937.79
2017-05-05,30724.17,0.0,May 2017,30724.17
2017-05-08,30595.98,0.0,May 2017,30595.98
2017-05-09,30547.51,0.0,May 2017,30547.51
2017-05-10,30867.45,0.0,May 2017,30867.45
2017-05-11,30821.55,0.0,May 2017,30821.55
2017-05-12,30653.88,0.0,May 2017,30653.88
2017-05-15,30967.82,0.0,May 2017,30967.82
2017-05-16,31025.3,0.0,May 2017,31025.3
2017-05-17,30866.4,0.0,May 2017,30866.4
2017-05-18,30805.4,0.0,May 2017,30805.4
2017-05-19,30531.02,0.0,May 2017,30531.02
2017-05-22,30356.38,0.0,May 2017,30356.38
2017-05-23,30355.55,0.0,May 2017,30355.55
2017-05-24,30216.94,0.0,May 2017,30216.94
2017-05-25,30701.5,0.0,May 2017,30701.5
2017-05-26,31265.46,0.0,May 2017,31265.46
2017-05-29,30973.84,0.0,May 2017,30973.84
2017-05-30,31302.77,0.0,May 2017,31302.77
2017-05-31,31337.65,0.0,May 2017,31337.65
2017-06-01,31510.69,0.0,Jun 2017,31510.69
2017-06-02,31591.0,0.0,Jun 2017,31591.0
2017-06-05,31798.36,0.0,Jun 2017,31798.36
2017-06-06,31790.6,0.0,Jun 2017,31790.6
2017-06-07,31776.22,0.0,Jun 2017,31776.22
2017-06-08,31900.09,0.0,Jun 2017,31900.09
2017-06-09,31982.24,0.0,Jun 2017,31982.24
2017-06-12,32015.11,0.0,Jun 2017,32015.11
2017-06-13,32191.69,0.0,Jun 2017,32191.69
2017-06-14,32285.95,0.0,Jun 2017,32285.95
2017-06-15,32912.96,0.0,Jun 2017,32912.96
2017-06-16,32647.56,0.0,Jun 2017,32647.56
2017-06-19,32537.49,0.0,Jun 2017,32537.49
2017-06-20,33544.03,0.0,Jun 2017,33544.03
2017-06-21,33256.33,0.0,Jun 2017,33256.33
2017-06-22,33005.24,0.0,Jun 2017,33005.24
2017-06-23,33021.52,0.0,Jun 2017,33021.52
2017-06-27,32775.95,0.0,Jun 2017,32775.95
2017-06-28,32585.11,0.0,Jun 2017,32585.11
2017-06-29,32412.51,0.0,Jun 2017,32412.51
2017-06-30,34133.37,0.0,Jun 2017,34133.37
2017-07-03,35628.88,0.0,Jul 2017,35628.88
2017-07-04,35193.31,0.0,Jul 2017,35193.31
2017-07-05,35401.43,0.0,Jul 2017,35401.43
2017-07-06,35376.93,0.0,Jul 2017,35376.93
2017-07-07,35518.08,0.0,Jul 2017,35518.08
2017-07-10,35515.94,0.0,Jul 2017,35515.94
2017-07-11,35658.14,0.0,Jul 2017,35658.14
2017-07-12,35841.47,0.0,Jul 2017,35841.47
2017-07-13,35995.57,0.0,Jul 2017,35995.57
2017-07-14,35769.15,0.0,Jul 2017,35769.15
2017-07-17,35836.03,0.0,Jul 2017,35836.03
2017-07-18,34226.53,0.0,Jul 2017,34226.53
2017-07-19,34693.42,0.0,Jul 2017,34693.42
2017-07-20,34939.12,0.0,Jul 2017,34939.12
2017-07-21,35047.38,0.0,Jul 2017,35047.38
2017-07-24,39988.97,0.0,Jul 2017,39988.97
2017-07-25,39339.97,0.0,Jul 2017,39339.97
2017-07-26,39252.68,0.0,Jul 2017,39252.68
2017-07-27,38892.37,0.0,Jul 2017,38892.37
2017-07-28,38958.12,0.0,Jul 2017,38958.12
2017-07-31,38685.95,0.0,Jul 2017,38685.95
2017-08-01,38381.56,0.0,Aug 2017,38381.56
2017-08-02,38167.21,0.0,Aug 2017,38167.21
2017-08-03,37864.59,0.0,Aug 2017,37864.59
2017-08-04,37661.37,0.0,Aug 2017,37661.37
2017-08-07,38078.01,0.0,Aug 2017,38078.01
2017-08-08,38069.29,0.0,Aug 2017,38069.29
2017-08-09,36802.4,0.0,Aug 2017,36802.4
2017-08-10,35650.95,0.0,Aug 2017,35650.95
2017-08-11,35091.51,0.0,Aug 2017,35091.51
2017-08-14,36275.94,0.0,Aug 2017,36275.94
2017-08-16,37211.66,0.0,Aug 2017,37211.66
2017-08-17,37599.84,0.0,Aug 2017,37599.84
2017-08-18,37046.54,0.0,Aug 2017,37046.54
2017-08-21,36534.41,0.0,Aug 2017,36534.41
2017-08-22,36293.66,0.0,Aug 2017,36293.66
2017-08-23,36630.83,0.0,Aug 2017,36630.83
2017-08-24,36376.47,0.0,Aug 2017,36376.47
2017-08-28,36534.09,0.0,Aug 2017,36534.09
2017-08-29,36381.64,0.0,Aug 2017,36381.64
2017-08-30,36703.75,0.0,Aug 2017,36703.75
2017-08-31,36897.84,0.0,Aug 2017,36897.84
2017-09-01,37511.03,0.0,Sep 2017,37511.03
2017-09-04,37148.68,0.0,Sep 2017,37148.68
2017-09-05,37179.23,0.0,Sep 2017,37179.23
2017-09-06,37143.78,0.0,Sep 2017,37143.78
2017-09-07,37372.28,0.0,Sep 2017,37372.28
2017-09-08,37119.35,0.0,Sep 2017,37119.35
2017-09-11,37432.32,0.0,Sep 2017,37432.32
2017-09-12,37727.65,0.0,Sep 2017,37727.65
2017-09-13,38172.19,0.0,Sep 2017,38172.19
2017-09-14,38237.19,0.0,Sep 2017,38237.19
2017-09-15,38144.05,0.0,Sep 2017,38144.05
2017-09-18,38769.88,0.0,Sep 2017,38769.88
2017-09-19,38971.37,0.0,Sep 2017,38971.37
2017-09-20,39062.55,0.0,Sep 2017,39062.55
2017-09-21,38819.84,0.0,Sep 2017,38819.84
2017-09-22,38395.5,0.0,Sep 2017,38395.5
2017-09-25,38073.55,0.0,Sep 2017,38073.55
2017-09-26,38539.06,0.0,Sep 2017,38539.06
2017-09-27,38198.34,0.0,Sep 2017,38198.34
2017-09-28,38342.39,0.0,Sep 2017,38342.39
2017-09-29,38453.99,0.0,Sep 2017,38453.99
2017-10-03,38863.11,0.0,Oct 2017,38863.11
2017-10-04,39259.55,0.0,Oct 2017,39259.55
2017-10-05,39319.17,0.0,Oct 2017,39319.17
2017-10-06,39676.25,0.0,Oct 2017,39676.25
2017-10-09,40510.51,0.0,Oct 2017,40510.51
2017-10-10,40699.05,0.0,Oct 2017,40699.05
2017-10-11,40479.19,0.0,Oct 2017,40479.19
2017-10-12,40821.78,0.0,Oct 2017,40821.78
2017-10-13,40916.5,0.0,Oct 2017,40916.5
2017-10-16,40879.37,0.0,Oct 2017,40879.37
2017-10-17,41693.97,0.0,Oct 2017,41693.97
2017-10-18,41865.4,0.0,Oct 2017,41865.4
2017-10-19,41454.24,0.0,Oct 2017,41454.24
2017-10-23,42038.68,0.0,Oct 2017,42038.68
2017-10-24,41293.73,0.0,Oct 2017,41293.73
2017-10-25,41558.36,0.0,Oct 2017,41558.36
2017-10-26,41978.89,0.0,Oct 2017,41978.89
2017-10-27,42414.09,0.0,Oct 2017,42414.09
