Month,Date,Bank_Balance_Before_Investing,Portfolio_Value_Before_Liquidity,Total_Liquidation_Limit,Available_for_Liquidation,Total_Liquidated,Investable_Amount_from_Bank_Balance,Investable_Amount_from_Liquidation,Investment,Bank_Balance_After_Investing,Portfolio_Value_After_Investing
Oct 2021,2021-10-29,0.0,103112.68,8592.722999,0.0,8592.72,0.0,8592.72,8592.72,0.0,102898.54
Nov 2021,2021-11-30,0.0,106131.79,8844.316072,0.0,8844.32,0.0,8844.32,8844.32,0.0,108165.99
Dec 2021,2021-12-31,0.0,133939.94,11161.661449,0.0,7626.36,0.0,7626.36,7626.36,0.0,137240.21
Jan 2022,2022-01-31,0.0,123277.43,10273.119488,0.0,10273.12,0.0,10273.12,10273.12,0.0,122551.96
Feb 2022,2022-02-28,0.0,105626.33,8802.194361,0.0,243.55,0.0,243.55,243.55,0.0,105589.29
Mar 2022,2022-03-31,0.0,125827.64,10485.637044,0.0,9712.38,0.0,9712.38,9712.38,0.0,127912.11
Apr 2022,2022-04-29,0.0,125369.13,10447.427489,0.0,974.79,0.0,974.79,974.79,0.0,125349.86
May 2022,2022-05-31,0.0,111200.39,9266.699015,0.0,0.0,0.0,0.0,0.0,0.0,111200.39
Jun 2022,2022-06-30,0.0,105094.82,8757.901858,0.0,0.0,0.0,0.0,0.0,0.0,105094.82
Jul 2022,2022-07-29,0.0,111765.66,9313.80525,0.0,9313.81,0.0,9313.81,9313.81,0.0,111771.11
Aug 2022,2022-08-30,0.0,111208.18,9267.348749,0.0,1415.72,0.0,1415.72,1415.72,0.0,111069.64
Sep 2022,2022-09-30,0.0,106043.47,8836.955477,0.0,8836.96,0.0,8836.96,8836.96,0.0,106157.32
Oct 2022,2022-10-31,0.0,105899.31,8824.942823,0.0,0.0,0.0,0.0,0.0,0.0,105899.31
Nov 2022,2022-11-30,0.0,110710.87,9225.906172,0.0,0.0,0.0,0.0,0.0,0.0,110710.87
Dec 2022,2022-12-30,0.0,105696.25,8808.020786,0.0,1196.88,0.0,1196.88,1196.88,0.0,105716.57
Jan 2023,2023-01-31,0.0,107929.26,8994.10465,0.0,6225.35,0.0,6225.35,6225.35,0.0,107836.74
Feb 2023,2023-02-28,0.0,104878.53,8739.877351,0.0,3857.69,0.0,3857.69,3857.69,0.0,104837.41
Mar 2023,2023-03-31,0.0,105297.49,8774.790557,0.0,3550.88,0.0,3550.88,3550.88,0.0,105112.92
Apr 2023,2023-04-28,0.0,112239.51,9353.292553,0.0,9353.29,0.0,9353.29,9353.29,0.0,112901.53
May 2023,2023-05-31,0.0,118367.25,9863.937734,0.0,9863.94,0.0,9863.94,9863.94,0.0,118510.83
Jun 2023,2023-06-30,0.0,125225.44,10435.453621,0.0,10435.45,0.0,10435.45,10435.45,0.0,125752.31
Jul 2023,2023-07-31,0.0,132252.76,11021.063552,0.0,11021.06,0.0,11021.06,11021.06,0.0,133728.44
Aug 2023,2023-08-31,0.0,143294.53,11941.211242,0.0,11941.21,0.0,11941.21,11941.21,0.0,142429.9
Sep 2023,2023-09-29,0.0,143896.82,11991.401753,0.0,11991.4,0.0,11991.4,11991.4,0.0,143957.92
Oct 2023,2023-10-31,0.0,141754.93,11812.911199,0.0,11812.91,0.0,11812.91,11812.91,0.0,142426.07
Nov 2023,2023-11-30,0.0,160657.11,13388.092711,0.0,13388.09,0.0,13388.09,13388.09,0.0,162143.05
Dec 2023,2023-12-29,0.0,176520.09,14710.007684,0.0,14710.01,0.0,14710.01,14710.01,0.0,178775.11
Jan 2024,2024-01-31,0.0,201479.87,16789.989285,0.0,16789.99,0.0,16789.99,16789.99,0.0,202171.27
Feb 2024,2024-02-29,0.0,196210.74,16350.894691,0.0,16350.89,0.0,16350.89,16350.89,0.0,195768.31
Mar 2024,2024-03-28,0.0,182417.74,15201.478164,0.0,8909.94,0.0,8909.94,8909.94,0.0,182446.66
Apr 2024,2024-04-30,0.0,202696.95,16891.412913,0.0,12705.02,0.0,12705.02,12705.02,0.0,204062.52
May 2024,2024-05-31,0.0,210912.17,17576.01428,0.0,17576.01,0.0,17576.01,17576.01,0.0,211604.49
Jun 2024,2024-06-28,0.0,229022.49,19085.207791,0.0,14172.31,0.0,14172.31,14172.31,0.0,229887.05
Jul 2024,2024-07-31,0.0,239818.73,19984.894421,0.0,19984.89,0.0,19984.89,19984.89,0.0,239859.91
