,Ticker,ROE_Mar-25,ROCE_Mar-25,ROE_Mar-24,ROCE_Mar-24,ROE_Mar-23,ROCE_Mar-23,ROE_Mar-22,ROCE_Mar-22,ROE_Mar-21,ROCE_Mar-21,ROE_Mar-20,ROCE_Mar-20,ROE_Mar-19,ROCE_Mar-19,ROE_Mar-18,ROCE_Mar-18,ROE_Mar-17,ROCE_Mar-17,ROE_Mar-16,ROCE_Mar-16,ROE_Mar-15,ROCE_Mar-15,ROE_Mar-14,ROCE_Mar-14,ROE_Mar-13,ROCE_Mar-13,ROE_Mar-12,ROCE_Mar-12,ROE_Mar-11,ROCE_Mar-11,ROE_Mar-10,ROCE_Mar-10,ROE_Mar-09,ROCE_Mar-09,ROE_Mar-08,ROCE_Mar-08,ROE_Mar-07,ROCE_Mar-07,ROE_Mar-06,ROCE_Mar-06,ROE_Mar-05,ROCE_Mar-05,Unnamed: 0
1004,TECHNO.NS,11.36,10.58,12.3,15.27,11.15,8.37,14.2,15.9,12.44,14.63,12.0,13.44,12.93,16.75,16.37,20.7,8.46,10.3,6.83,9.8,6.08,6.79,11.22,11.25,10.61,12.85,17.46,22.0,22.04,22.71,,,,,,,,,,,,,1017
1005,TECHNOE.NS,11.36,10.58,12.3,15.27,11.15,8.37,14.2,15.9,12.44,14.63,12.0,13.44,12.93,16.75,16.37,20.7,8.46,10.3,6.83,9.8,6.08,6.79,11.22,11.25,10.61,12.85,17.46,22.0,22.04,22.71,,,,,,,,,,,,,1018
1006,TEJASNET.NS,11.68,22.6,2.56,4.74,0.1,0.54,-3.3,-5.93,3.29,2.24,-21.87,-11.79,11.12,12.59,9.29,9.28,14.0,13.91,7.43,6.86,-5.95,-4.75,1.78,1.43,-26.45,-22.88,-21.67,-21.53,4.13,4.11,,,,,,,,,,,,,1019
1007,TEMBO.NS,,,20.92,31.28,14.4,22.98,13.51,16.22,14.68,17.63,11.72,18.76,11.04,21.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020
1008,TEXINFRA.NS,-0.64,0.51,0.24,0.35,0.56,0.83,0.23,0.54,2.57,3.72,2.4,3.77,1.9,3.05,2.07,2.73,3.56,3.84,5.33,5.12,2.7,2.56,6.08,5.79,6.16,5.85,7.64,7.22,3.29,3.09,17.15,15.99,25.69,21.74,30.57,23.98,19.18,13.7,15.23,10.65,14.33,9.27,1021
1009,TEXRAIL.NS,6.44,12.39,4.53,11.09,1.47,9.0,1.37,8.75,1.04,8.78,-6.4,11.68,6.6,11.31,1.24,7.77,3.21,8.5,2.69,2.6,1.55,1.48,2.92,2.76,16.55,15.64,18.73,17.34,28.63,27.23,-1.72,-1.72,0.0,39.52,0.0,53.5,0.0,122.85,-975.28,-975.28,,,1022
1010,TFCILTD.NS,8.53,18.72,8.36,19.61,8.64,14.36,9.1,14.53,10.2,14.51,10.75,13.67,11.7,12.97,11.42,10.23,12.7,4.54,10.42,3.59,12.56,4.09,13.4,4.41,13.22,4.49,13.1,4.33,13.05,5.52,11.1,5.0,10.18,4.92,8.18,4.32,7.51,3.31,6.42,2.56,2.64,0.83,1023
1011,TFL.NS,1.69,17.96,1.04,13.26,-26.49,-10.99,-13.45,6.49,-17.51,-3.78,-18.5,-8.31,0.49,7.28,0.24,1.37,1.28,1.51,0.25,0.24,0.19,0.18,0.39,0.38,-1.92,-1.81,11.64,10.59,0.83,0.74,-2.17,-2.17,1.74,1.74,6.05,5.96,5.9,5.79,23.85,23.65,15.57,2.95,1024
1012,THERMAX.NS,14.41,15.96,12.36,16.66,10.23,13.53,6.69,9.12,4.89,9.83,7.81,9.08,10.06,11.57,9.28,9.03,6.01,5.84,12.28,11.96,14.81,14.51,12.49,11.5,18.72,18.07,25.41,24.71,29.59,28.89,13.46,12.92,29.86,28.78,38.14,36.59,32.42,31.35,25.75,24.76,15.25,12.97,1025
1013,THOMASCOOK.NS,,,5.39,9.76,0.08,3.19,-4.67,-5.32,-1.01,-1.8,-1.73,2.89,1.54,4.45,31.44,2.85,-0.72,3.39,0.46,0.36,2.91,2.58,,,,,,,,,,,,,,,,,,,,,1026
1014,THYROCARE.NS,17.83,27.21,13.84,18.73,10.93,15.46,29.2,39.07,26.88,34.81,20.97,40.25,20.89,31.34,21.15,20.56,11.16,26.71,15.65,22.96,17.37,24.16,22.37,19.28,35.48,29.5,34.09,26.14,36.75,25.74,,,,,,,,,,,,,1027
1015,TI.NS,19.83,27.0,24.51,26.08,27.78,34.67,23.25,30.04,11.61,17.89,22.23,28.37,22.23,32.4,22.38,32.27,17.66,26.39,20.08,19.49,26.61,25.88,29.36,28.55,36.9,35.76,41.39,39.36,41.97,39.83,34.55,30.53,28.83,22.85,34.45,25.79,28.74,20.57,38.22,19.95,18.17,6.4,1028
1016,TIDEWATER.NS,16.66,17.78,15.53,18.12,12.4,14.6,15.86,19.04,16.68,20.88,15.71,19.89,14.95,21.4,14.77,21.18,16.37,15.31,14.28,26.43,33.11,30.58,17.74,16.46,17.76,16.43,19.27,17.76,24.71,22.58,28.67,28.01,18.5,18.07,18.63,18.11,8.69,8.03,7.78,7.17,8.1,7.66,1029
1017,TIFIN.NS,,,4.79,6.41,4.68,6.28,4.67,6.8,1.9,4.86,7.45,7.9,6.25,6.65,5.82,6.02,3.74,3.74,37.63,30.97,9.15,5.59,7.59,4.87,8.8,5.57,16.15,11.38,17.11,12.06,9.99,6.65,9.85,6.87,8.08,6.14,24.47,20.38,34.37,25.62,21.98,15.83,1030
1018,TIINDIA.NS,24.88,29.59,18.49,24.7,20.2,28.62,17.59,23.42,11.91,16.81,19.3,25.51,17.08,26.82,11.24,9.26,13.91,17.57,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1031
1019,TIMETECHNO.NS,9.18,13.35,9.02,13.35,6.8,10.53,6.41,9.98,3.49,7.08,6.8,10.93,9.28,13.87,9.05,13.4,8.2,12.82,10.89,8.9,8.49,6.8,10.44,8.22,10.77,8.61,11.6,8.87,15.86,11.95,13.91,10.49,13.66,10.72,16.72,13.57,18.73,14.51,18.58,12.49,9.85,5.11,1032
1020,TIMKEN.NS,15.72,19.11,16.22,20.99,19.18,24.71,19.74,25.06,10.65,13.54,15.6,18.27,11.08,15.39,13.09,19.31,15.73,21.73,17.32,17.16,18.4,17.96,11.7,11.43,12.95,12.59,25.75,25.07,,,,,,,,,,,,,,,1033
1021,TINPLATE.NS,,,,,11.3,14.56,30.13,36.65,11.6,14.33,12.49,12.91,8.15,11.67,10.81,14.46,4.47,5.66,10.89,8.84,8.12,6.4,11.77,8.31,5.64,3.52,3.34,2.1,11.21,5.9,21.72,9.82,46.42,7.4,6.6,1.45,33.91,6.29,111.08,16.99,199.93,12.01,1034
1022,TIPSINDLTD.NS,79.48,97.13,70.84,66.88,56.19,75.98,63.04,65.3,42.92,42.36,14.1,17.17,4.02,12.41,4.48,12.66,4.38,12.33,4.35,2.24,3.84,1.68,-23.25,-19.06,13.3,11.22,10.41,8.37,3.74,3.29,9.94,6.42,14.44,8.79,27.84,24.67,2.4,1.51,1.94,1.67,-11.07,-11.03,1035
1023,TIRUMALCHM.NS,7.42,9.25,3.68,8.44,12.42,17.71,17.54,22.2,16.23,19.66,7.35,10.23,16.51,23.44,27.98,26.05,20.2,18.31,23.23,21.2,9.4,8.08,2.5,1.95,20.11,13.16,4.1,2.1,17.59,11.43,29.77,9.96,-53.96,-20.66,20.32,9.4,21.71,10.4,14.24,7.61,14.31,6.3,1036
1024,TIRUPATIFL.NS,7.33,9.83,13.3,19.15,26.01,35.54,23.21,29.75,1.89,3.83,1.48,4.19,28.46,36.34,14.74,22.52,18.85,22.99,7.69,2.95,34.61,11.17,-0.44,-0.09,0.0,0.0,,,,,,,,,,,,,,,,,1037
1025,TITAGARH.NS,12.04,17.95,13.32,18.84,10.73,24.69,8.29,15.32,5.76,9.87,-9.79,11.5,-6.17,7.92,0.32,0.85,2.15,3.28,-1.02,-0.98,1.58,1.55,0.6,0.58,3.78,3.68,12.41,12.11,15.56,15.13,14.62,14.1,16.54,16.4,26.75,18.41,30.06,25.06,18.53,13.14,49.57,28.03,1038
1026,TITAN.NS,19.83,27.0,24.51,26.08,27.78,34.67,23.25,30.04,11.61,17.89,22.23,28.37,22.23,32.4,22.38,32.27,17.66,26.39,20.08,19.49,26.61,25.88,29.36,28.55,36.9,35.76,41.39,39.36,41.97,39.83,34.55,30.53,28.83,22.85,34.45,25.79,28.74,20.57,38.22,19.95,18.17,6.4,1039
1027,TNPETRO.NS,6.17,5.73,5.39,8.94,11.63,14.83,24.13,30.18,21.77,24.62,12.22,15.93,13.28,17.09,14.38,18.68,3.01,2.5,14.71,13.27,-24.0,-20.7,-23.42,-10.54,-25.69,-11.56,1.57,1.14,7.84,5.51,3.02,1.93,1.86,1.2,-3.45,-2.02,-3.1,-1.77,0.55,0.29,3.14,1.58,1040
1028,TNPL.NS,0.17,6.51,9.96,15.33,19.95,22.27,0.9,4.97,-4.07,1.93,7.59,12.47,5.71,14.27,-2.62,6.39,15.52,15.21,17.56,6.57,13.87,5.49,14.06,7.35,8.83,4.42,11.22,5.03,16.26,7.2,15.66,6.32,16.16,7.21,17.62,8.96,14.92,7.16,15.41,9.2,8.14,4.97,1041
