Date,Open,High,Low,Close,Adj Close,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-02-02,88.69999695,89.16000366,88.41100311,88.89600372,88.89600372,417990.0,,,,,,
2017-02-03,88.89499664,89.13999939,88.71199799,88.99299622,88.99299622,260340.0,,,,,,
2017-02-06,89.5,89.79000092,89.15499878,89.65899658,89.65899658,269650.0,,,,,,
2017-02-07,89.90000153,89.90000153,89.1309967,89.37200165,89.37200165,239020.0,,,,,,
2017-02-08,89.36100006,89.63600159,88.90499878,89.43599701,89.43599701,192350.0,,,,,,
2017-02-09,89.5039978,89.90000153,88.90499878,89.45600128,89.45600128,185900.0,,,,,,
2017-02-10,89.94999695,89.94999695,89.43499756,89.58899689,89.58899689,133680.0,,,,,,
2017-02-13,90.0,90.0,89.19999695,89.69999695,89.69999695,138570.0,,,,,,
2017-02-14,90.0,90.0,89.43299866,89.75499725,89.75499725,100770.0,,,,,,
2017-02-15,90.0,90.0,88.70200348,89.04100037,89.04100037,202480.0,,,,,,
2017-02-16,89.30000305,89.59899902,88.89800262,89.51200104,89.51200104,87650.0,,,,,,
2017-02-17,89.80000305,90.40000153,89.76100159,89.94999695,89.94999695,550480.0,,,,,,
2017-02-20,90.0,90.54499817,89.61100006,90.49900055,90.49900055,220180.0,,,,,,
2017-02-21,90.59999847,90.875,90.34999847,90.71600342,90.71600342,390700.0,,,,,,
2017-02-22,90.90000153,91.27700043,90.56500244,90.95600128,90.95600128,286180.0,,,,,,
2017-02-23,91.0,91.45500183,90.90000153,91.1309967,91.1309967,482000.0,,,,,,
2017-02-27,91.19999695,91.27500153,90.63200378,90.74900055,90.74900055,290320.0,,,,,,
2017-02-28,91.0,91.0,90.5,90.66500092,90.66500092,129720.0,,,,,,
2017-03-01,90.73000336,91.66999817,90.73000336,91.59600067,91.59600067,5639490.0,,,,,,
2017-03-02,92.0,92.0,90.90000153,91.0719986,91.0719986,5980200.0,,,,,,
2017-03-03,90.70200348,91.10900116,90.59999847,91.04399872,91.04399872,180500.0,,,,,,
2017-03-06,91.11299896,91.62999725,91.0,91.55599976,91.55599976,141820.0,,,,,,
2017-03-07,91.5,91.5,91.26499939,91.30999756,91.30999756,165120.0,,,,,,
2017-03-08,91.40000153,91.5,90.79499817,91.07900238,91.07900238,386090.0,,,,,,
2017-03-09,90.93399811,91.55000305,90.80000305,91.49500275,91.49500275,6481490.0,,,,,,
2017-03-10,91.40000153,91.71299744,91.12000275,91.44999695,91.44999695,158890.0,,,,,,
2017-03-14,92.02600098,93.30000305,92.02600098,92.73699951,92.73699951,567080.0,,,,,,
2017-03-15,92.81099701,93.08000183,92.59600067,92.69799805,92.69799805,442930.0,,,,,,
2017-03-16,92.72000122,93.52500153,92.72000122,93.46399689,93.46399689,2065820.0,,,,,,
2017-03-17,93.40000153,93.69999695,93.19999695,93.43499756,93.43499756,4384370.0,,,,,,
2017-03-20,93.43000031,93.46299744,93.11100006,93.26100159,93.26100159,861210.0,,,,,,
2017-03-21,93.21299744,93.40000153,92.98500061,93.30500031,93.30500031,247380.0,,,,,,
2017-03-22,92.71099854,92.85500336,92.21499634,92.27500153,92.27500153,453540.0,,,,,,
2017-03-23,92.40000153,93.12000275,92.36000061,93.00099945,93.00099945,1241340.0,,,,,,
2017-03-24,93.0530014,93.39900208,92.69999695,93.31300354,93.31300354,578020.0,,,,,,
2017-03-27,98.125,98.125,92.39900208,92.59999847,92.59999847,647350.0,,,,,,
2017-03-28,92.7990036,93.19999695,92.69999695,92.98400116,92.98400116,88670.0,,,,,,
2017-03-29,92.99900055,93.48999786,92.99900055,93.23600006,93.23600006,215470.0,,,,,,
2017-03-30,93.24299622,93.94999695,93.23600006,93.75700378,93.75700378,804250.0,,,,,,
2017-03-31,93.65899658,93.90000153,93.40000153,93.82700348,93.82700348,229110.0,,,,,,
2017-04-03,94.09999847,94.58999634,93.80000305,94.41200256,94.41200256,220110.0,,,,,,
2017-04-05,95.0,95.0,94.26999664,94.53299713,94.53299713,296360.0,,,,,,
2017-04-06,94.59999847,94.59999847,94.15100098,94.54100037,94.54100037,166850.0,,,,,,
2017-04-07,94.59999847,94.59999847,93.90000153,93.96499634,93.96499634,343740.0,,,,,,
2017-04-10,94.01000214,94.29000092,93.87000275,93.91899872,93.91899872,243780.0,,,,,,
2017-04-11,94.0,94.44000244,93.71499634,94.34400177,94.34400177,274330.0,,,,,,
2017-04-12,94.30000305,94.43000031,93.66699982,94.03700256,94.03700256,135530.0,,,,,,
2017-04-13,94.19999695,94.19999695,93.40000153,93.5059967,93.5059967,174520.0,,,,,,
2017-04-17,93.51000214,93.58499908,93.19999695,93.45400238,93.45400238,165030.0,,,,,,
2017-04-18,93.47899628,94.15000153,92.88500214,92.95800018,92.95800018,174910.0,,,,,,
2017-04-19,93.0,93.19999695,92.7009964,93.07299805,93.07299805,128860.0,,,,,,
2017-04-20,93.09999847,93.43499756,92.94000244,93.35900116,93.35900116,65120.0,,,,,,
2017-04-21,93.5,93.69999695,92.84999847,93.11199951,93.11199951,180990.0,,,,,,
2017-04-24,93.5,94.27700043,93.0019989,94.14800262,94.14800262,279460.0,,,,,,
2017-04-25,94.5,94.98999786,94.27200317,94.92199707,94.92199707,441830.0,,,,,,
2017-04-26,95.5,95.59999847,94.91000366,95.40799713,95.40799713,709980.0,,,,,,
2017-04-27,96.0,96.0,95.19999695,95.34899902,95.34899902,487100.0,,,,,,
2017-04-28,95.5,95.5,94.80500031,94.98799896,94.98799896,267690.0,,,,,,
2017-05-02,95.09999847,95.48000336,94.69100189,95.03299713,95.03299713,209860.0,,,,,,
2017-05-03,95.19999695,95.69000244,94.93000031,95.04399872,95.04399872,237150.0,,,,,,
2017-05-04,95.30000305,95.65499878,95.15100098,95.56400299,95.56400299,152080.0,,,,,,
2017-05-05,95.69999695,95.69999695,94.75,94.90200043,94.90200043,161650.0,,,,,,
2017-05-08,95.5,95.5,94.95800018,95.02700043,95.02700043,1067210.0,,,,,,
2017-05-09,95.5,95.5,95.02500153,95.11199951,95.11199951,175120.0,,,,,,
2017-05-10,95.30000305,96.06999969,95.25099945,96.00299835,96.00299835,257680.0,,,,,,
2017-05-11,96.30000305,96.47899628,96.0,96.11299896,96.11299896,350780.0,,,,,,
2017-05-12,96.5,96.5,95.67500305,95.9469986,95.9469986,347630.0,,,,,,
2017-05-15,96.19999695,96.43000031,96.08999634,96.30500031,96.30500031,124700.0,,,,,,
2017-05-16,96.5,97.1210022,96.30000305,97.06500244,97.06500244,232960.0,,,,,,
2017-05-17,97.40000153,97.40000153,96.65100098,97.21199799,97.21199799,136920.0,,,,,,
2017-05-18,97.0,97.0,96.11000061,96.23300171,96.23300171,584750.0,,,,,,
2017-05-19,96.5,97.07499695,95.85500336,96.25299835,96.25299835,366450.0,,,,,,
2017-05-22,96.5,96.90000153,96.21800232,96.36399841,96.36399841,215560.0,,,,,,
2017-05-23,96.59999847,96.59999847,95.59999847,95.8010025,95.8010025,146190.0,,,,,,
2017-05-24,96.09999847,96.34799957,95.33000183,95.53199768,95.53199768,260930.0,,,,,,
2017-05-25,96.0,97.16899872,95.59600067,97.04599762,97.04599762,214880.0,,,,,,
2017-05-26,97.30000305,97.98999786,96.90000153,97.88899994,97.88899994,268140.0,,,,,,
2017-05-29,97.69999695,98.38999939,97.46499634,98.02899933,98.02899933,288450.0,,,,,,
2017-05-30,98.19999695,98.35399628,97.79399872,98.17500305,98.17500305,136880.0,,,,,,
2017-05-31,98.5,98.5,98.10099792,98.22200012,98.22200012,115000.0,,,,,,
2017-06-01,98.40000153,98.44499969,98.0,98.20700073,98.20700073,221410.0,,,,,,
2017-06-02,98.69999695,98.69999695,98.44000244,98.63300323,98.63300323,249960.0,,,,,,
2017-06-05,98.90000153,99.08999634,98.59999847,98.94400024,98.94400024,172570.0,,,,,,
2017-06-06,99.40000153,99.40000153,98.49500275,98.55000305,98.55000305,478720.0,,,,,,
2017-06-07,98.69999695,98.9980011,98.47100067,98.77799988,98.77799988,197770.0,,,,,,
2017-06-08,98.90000153,99.00299835,98.65000153,98.73799896,98.73799896,166840.0,,,,,,
2017-06-09,98.59999847,99.04699707,98.30000305,98.95400238,98.95400238,141970.0,,,,,,
2017-06-12,98.94999695,98.94999695,97.8809967,98.32499695,98.32499695,187660.0,,,,,,
2017-06-13,98.5,98.79000092,98.30000305,98.4240036,98.4240036,111400.0,,,,,,
2017-06-14,98.69999695,98.69999695,98.02500153,98.3710022,98.3710022,176060.0,,,,,,
2017-06-15,98.30999756,98.40299988,97.92500305,98.04000092,98.04000092,168430.0,,,,,,
2017-06-16,98.09999847,98.34899902,98.0,98.05200195,98.05200195,134340.0,,,,,,
2017-06-19,98.34100342,98.98999786,98.32700348,98.8259964,98.8259964,251180.0,,,,,,
2017-06-20,99.0,99.01999664,98.72000122,98.8769989,98.8769989,92930.0,,,,,,
2017-06-21,98.90000153,98.90000153,98.3259964,98.57499695,98.57499695,169930.0,,,,,,
2017-06-22,98.69999695,99.37999725,98.44300079,98.5,98.5,330110.0,,,,,,
2017-06-23,98.58699799,98.64299774,97.98999786,98.02899933,98.02899933,77950.0,,,,,,
2017-06-27,98.40000153,98.42900085,97.00099945,97.34700012,97.34700012,185190.0,,,,,,
2017-06-28,97.5,97.5,97.03299713,97.26799774,97.26799774,179820.0,,,,,,
2017-06-29,97.5,98.09999847,97.22000122,97.35500336,97.35500336,339120.0,,,,,,
2017-06-30,97.30000305,97.69999695,96.81999969,97.59799957,97.59799957,441660.0,,,,,,
2017-07-03,97.69999695,98.55000305,97.61799622,98.42099762,98.42099762,728050.0,,,,,,
2017-07-04,98.5,98.84799957,98.29000092,98.50800323,98.50800323,131230.0,,,,,,
2017-07-05,98.52999878,98.8690033,98.40000153,98.78600311,98.78600311,108800.0,,,,,,
2017-07-06,99.09999847,99.47000122,98.69999695,99.20700073,99.20700073,251570.0,,,,,,
2017-07-07,99.02200317,99.26999664,98.90100098,99.00900269,99.00900269,72260.0,,,,,,
2017-07-10,99.01000214,100.1600037,98.90000153,100.0179977,100.0179977,150640.0,,,,,,
2017-07-11,100.5,100.6900024,99.59999847,100.3840027,100.3840027,300280.0,,,,,,
2017-07-12,100.5,100.6999969,100.0999985,100.5540009,100.5540009,251500.0,,,,,,
2017-07-13,99.5019989,101.5,99.3010025,101.4250031,101.4250031,373350.0,,,,,,
2017-07-14,101.5,101.5,101.0810013,101.2440033,101.2440033,3230790.0,,,,,,
2017-07-17,101.5350037,101.8700027,101.2559967,101.6880035,101.6880035,2249740.0,,,,,,
2017-07-18,101.5999985,101.5999985,100.8079987,101.0110016,101.0110016,211420.0,,,,,,
2017-07-19,101.2990036,101.7490005,101.012001,101.6320038,101.6320038,94090.0,,,,,,
2017-07-20,101.5999985,101.8799973,101.3000031,101.4729996,101.4729996,52240.0,,,,,,
2017-07-21,101.5,101.8949966,101.0350037,101.7730026,101.7730026,75920.0,,,,,,
2017-07-24,101.6999969,102.5,101.3150024,102.3860016,102.3860016,116300.0,,,,,,
2017-07-25,102.5999985,102.7580032,102.0459976,102.4980011,102.4980011,1989930.0,,,,,,
2017-07-26,102.5999985,103.0,102.2949982,102.8619995,102.8619995,251290.0,,,,,,
2017-07-27,103.0,103.8799973,102.8710022,103.0459976,103.0459976,372740.0,,,,,,
2017-07-28,102.7020035,102.9309998,102.2200012,102.7570038,102.7570038,272150.0,,,,,,
